-	/dispersal	/flowers	/flowers/ovary	/flowers/ovary/stigma	/flowers/stamens	/flowers/stamens/filaments	/fruits	/fruits/apex	/fruits/diameter	/fruits/dimensions	/fruits/length	/fruits/seeds	/fruits/stigma	/fruits/stigma/length	/fruits/thickness	/fruits/width	/habit	/habit/fertile stems	/habit/height	/habit/length	/habit/odor	/habit/rhizome	/habit/upper internodes	/indumentum	/inflorescences	/inflorescences/anthers	/inflorescences/common peduncle	/inflorescences/common peduncle/lateral branches	/inflorescences/common peduncle/lateral branches/length	/inflorescences/common peduncle/length	/inflorescences/common peduncle/peduncle	/inflorescences/common peduncle/peduncle/length	/inflorescences/floral bracts	/inflorescences/floral bracts/diameter	/inflorescences/floral bracts/filaments	/inflorescences/floral bracts/rachises	/inflorescences/flower number	/inflorescences/flowers	/inflorescences/growth form	/inflorescences/length	/inflorescences/ovary	/inflorescences/ovary/stigma	/inflorescences/peduncle	/inflorescences/peduncle/length	/inflorescences/position	/inflorescences/rachises	/inflorescences/spikes	/inflorescences/spikes/diameter	/inflorescences/spikes/dimensions	/inflorescences/spikes/length	/inflorescences/spikes/rachises	/inflorescences/spikes/thickness	/inflorescences/spikes/width	/inflorescences/stamens	/inflorescences/stamens/anthers	/inflorescences/stamens/length	/inflorescences/thecae	/infructescences	/infructescences/dimensions	/infructescences/fruits	/infructescences/fruits/diameter	/infructescences/fruits/stigma	/infructescences/fruits/thickness	/infructescences/fruits/width	/infructescences/length	/infructescences/stigma	/infructescences/thickness	/infructescences/width	/internodes	/juvenile fruits	/leaves	/leaves/blade	/leaves/blade/apex	/leaves/blade/base	/leaves/blade/base/length	/leaves/blade/diameter	/leaves/blade/dimensions	/leaves/blade/margins	/leaves/blade/shape	/leaves/blade/texture	/leaves/fertile branches	/leaves/petiole	/leaves/petiole/length	/leaves/petiole/relative distance	/leaves/prophyllum	/leaves/shape	/leaves/stipules	/leaves/veins	/mature fruits	/petiole	/petiole/blade	/petiole/blade/apex	/petiole/blade/base	/petiole/blade/base/differential distance	/petiole/blade/dimensions	/petiole/blade/margins	/petiole/blade/shape	/petiole/blade/texture	/petiole/length	/petiole/ligula	/petiole/ligula/length	/petiole/margins	/petiole/margins/apex	/petiole/margins/base	/petiole/margins/base/differential distance	/petiole/margins/length	/petiole/secondary veins	/petiole/veins	/prophyllum	/prophyllum/length	/prophyllum/sheaths	/shoot apex	/stamens	/stamens/anthers	/stamens/filaments	/stamens/ovary	/stems	/stems/internodes	/stems/internodes/length	/stems/length	/stems/nodes	/stems/thickness	/stems/upper internodes	/stems/upper internodes/length	/stipules	/stipules/blade	/stipules/blade/apex	/stipules/blade/base	/stipules/blade/base/differential distance	/stipules/blade/dimensions	/stipules/blade/margins	/stipules/blade/shape	/stipules/blade/texture	/stipules/dimensions	/stipules/length	/stipules/petiole	/stipules/petiole/length	/stipules/veins	/upper internodes	
PIPERACEAE  	Fruits are said to be dispersed by bats or epizoochorous.	Flowers sessile, usually bisexual, without calyx or corolla, subtended by a floral bract;      	ovary sessile or stipitate, 1-locular with 1 ovule,       	stigmas 1-4. 	stamens 1-6; 	-	Fruits small drupes or nuts.	-	-	-	-	-	-	-	-	-	Herbs, shrubs or treelets, sometimes scandent, rarely lianas. 	-	-	-	-	-	-	-	Inflorescences |, axillary, or leaf-opposed spikes with minute flowers, solitary or few together, or occasionally spikes arranged in panicles or umbels. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	terminal	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves simple, alternate, opposite or in whorls;      	-	-	-	-	-	-	-	-	-	-	-	-	-	prophyll often present, sometimes enclosing shoot-apex. 	-	stipules absent or present; 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
PEPEROMIA  	-	-	-	-	-	-	Fruits minute nuts or drupes (“berries”), (sub)basely or laterally attached, sessile or somewhat stipitate when mature, occasionally somewhat sunken in rachis, smooth or sticky, globose, ellipsoid or cylindrical,      	apex obliquely scutellate or truncate, with or without a slender beak, 	-	-	-	-	stigma apical, central or at base of beak.	-	-	-	Small epiphytic, epilithic, or terrestrial, succulent herbs, creeping, prostrate, hanging, ascending or erect. 	-	-	-	-	-	-	-	Inflorescences |, solitary or few together, occasionally paniculate; 	-	-	-	-	-	-	-	floral bracts peltate, mainly rounded, glabrous, often glandular. 	-	-	-	-	flowers numerous, loosely or less often densely arranged, sometimes partly sunken in the rachis; 	-	-	-	-	-	-	terminal, leaf-opposed or axillary spikes	rachis glabrous (but hairy in P. tetraphylla); 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, opposite or in whorls or 3-7 per node;      	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pinnately or palmately veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stamens 2,      	anthers 2-locular; 	filaments short, 	ovary with 1 style and stigma, or stigma sessile. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia alata 	-	-	-	-	-	-	Fruits laterally attached, globose-ovoid, reddish brown,      	apex oblique with subapical stigma.	-	-	-	-	-	-	-	-	Epiphytic, epilithic or terrestrial, glabrous herb. 	-	-	-	-	-	-	-	Inflorescence |, single or few together, 	-	-	-	-	-	-	-	floral bracts rounded, glabrous, slightly glandular. 	-	-	-	-	-	erect	-	-	-	peduncle not slender, |, green; 	0.3-1.5 cm long	terminal or axillary	-	spike |, yellow; 	-	-	6-14 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate;      	blade |, green above, often reddish brown beneath, |, 	apex acuminate, 	base acute, glabrous; 	-	-	4.5-13 x 2-5 cm	margin may be ciliate towards apex, 	elliptic or broadly elliptic or ovate	fleshy membranous or coriaceous	-	petiole |, deeply grooved or winged; 	0.3-3 cm long	-	-	-	-	3-5(-7)-pli- or palmately veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem ascending, 	internodes winged or ridged below nodes, green or reddish. 	-	10-40 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia angustata 	-	-	-	-	-	-	Fruits basely attached, ovoid to globose, beaked, blackish, often verruculose,      	apex obliquely scutellate, 	-	-	-	-	stigma apical.	-	-	-	Terrestrial, epiphytic or epilithic herb, erect, creeping or ascending, rooting at nodes. 	-	-	-	-	-	-	-	Inflorescence single, 	-	-	-	-	-	-	-	floral bracts rounded to oblong, slightly glandular. 	-	-	-	-	-	erect	-	-	-	peduncle slender, |, glabrous or minutely pubescent, red; 	2-3 cm long	terminal	-	spike |, moderately to densely flowered; 	-	-	10-16 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves in whorls of (2-)3-4(-5), basely attached;      	blade 	apex acute or acuminate, 	base acutish to cuneate, glabrous; 	-	-	2-6(-9) x 1-3(-4) cm	-	rhombic to elliptic or oblanceolate	fleshy to coriaceous	-	petiole |, glabrous; 	0.2-1.5 cm long	-	-	-	-	palmately 3(-5)-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem glabrous, |, green or reddish. 	-	-	30-100 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia blanda 	-	-	-	-	-	-	Fruits subbasely attached, globose to ovoid, more or less verruculose, brown,      	apex oblique with subapical stigma.	-	-	-	-	-	-	-	-	Terrestrial, epiphytic or epilithic herb, erect or ascending from rooting base. 	-	-	-	-	-	-	-	Inflorescence |, single or few together; 	-	-	-	-	-	-	-	floral bracts rounded, glandular. 	-	-	-	-	-	-	-	-	-	peduncle |, pubescent or crisp-pubescent; 	0.7-3.2 cm long	terminal or axillary	-	spike |, green, densely to laxly flowered; 	-	-	2.5-15 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves opposite or in whorls of 3-7 (sometimes dimorphic), basely attached;      	blade 	apex acute or somewhat acuminate, 	base acute, pubescent usually on both sides; 	-	-	2-8 x 0.8-4 cm	margin ciliate, 	elliptic, narrowly elliptic, or obovate, often rhombic	slightly fleshy	-	petiole |, pubescent; 	0.2-1(-1.8) cm long	-	-	-	-	palmately 3(-5)-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem villous, often fuscous, green or reddish, 	-	-	10-20(-60) cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia delascioi 	-	-	-	-	-	-	Fruits stipitate pale brown, smooth, oblong-ellipsoid, |, crowned with a persistent, conic style, 	-	-	1-1.1 x 0.5 mm	-	-	stigma apical, mammiform.	-	-	-	Terrestrial herb, non-creeping, suberect or ascending |, not rooting at nodes. 	-	up to 9 cm	-	-	-	-	-	Inflorescence |, solitary; 	-	-	-	-	-	-	-	floral bracts rounded, umbonate with pale margin, 	0.3 mm in diam.	-	-	-	-	erect	-	-	-	peduncle |, minutely hirtellous, without bracts; 	0.3-0.5(-2) cm long	terminal opposite the uppermost leaves	rachis glabrous. 	spike with scattered flowers, 	-	-	0.6-3 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Uppermost leaves opposite, the others alternate;      	blade basely attached or slightly peltate, 	apex emarginate with some hairs at notch, 	base rounded or subtruncate, glabrous above, minutely hirtellous at base below; 	-	-	0.5-0.8 x 0.5-1 cm	margin not ciliate, 	oblately suborbicular	fleshy-membranous	-	petiole |, minutely hirtellous; 	0.3-0.8 cm long	-	-	-	-	palmately 3-5-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem minutely hirtellous (spreading hairs 	-	-	0.1 mm long	-	-	upper internodes 	4-10 mm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia emarginella 	-	-	-	-	-	-	Fruits basely attached (according to Steyermark, on a short stipe), ellipsoid, 	-	-	-	ca. 1 mm long with apical stigma	-	-	-	-	-	Epiphytic or epilithic, or epiphyllous herb, creeping and rooting at nodes, glabrous or sparsely villous. 	-	-	-	-	-	-	-	Inflorescence |, single, 	-	-	-	-	-	-	-	floral bracts sub-orbicular to oblong. 	-	-	-	-	-	erect	-	-	-	peduncle slender, |, pinkish; 	to 1 cm long	terminal	-	spike |, laxly flowered; 	-	-	to 1.5 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade |, bright green, |, 	apex emarginate, 	base rounded or truncate, glabrous or with a few hairs; 	-	0.15-0.6 cm in diam.	-	margin somewhat ciliate, 	orbicular or subreniform	slightly fleshy	-	petiole |, often red, glabrous or with sparse hairs; 	0.1-0.5 cm long	-	-	-	-	obsoletely palmately 3-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia galioides 	-	-	-	-	-	-	Fruits subbasely attached, globose, brown,      	apex oblique with subapical stigma.	-	-	-	-	-	-	-	-	Terrestrial, epilithic or epiphytic, cespitose herb. 	-	-	-	-	-	-	-	Inflorescence |, often in groups of 2-5; 	-	-	-	-	-	-	-	floral bracts rounded, glandular. 	-	-	-	-	-	-	-	-	-	peduncle not slender, |, minutely pubescent to glabrous, winged, green; 	0.2-1.2 cm long	terminal or axillary	-	spike |, pale yellow to green, laxly flowered; 	-	-	up to 15 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves in whorls of 1-4(-9), basely attached;      	blade |, ciliate towards obtuse apex, 	-	base acutish, glabrous; 	-	-	0.5-3.0 x 0.2-0.6 cm	-	narrowly spathulate, narrowly elliptic or narrowly oblanceolate, larger towards apex of stem	fleshy to subcoriaceous	-	petiole |, minutely pubescent; 	to 0.3 cm long	-	-	-	-	venation slightly obvious, palmately 3-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem minutely pubescent to glabrous, |, green or green with red spots or reddish. 	-	-	10-80 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia glabella 	-	-	-	-	-	-	Fruits laterally attached, globose, reddish brown,      	apex oblique with subapical stigma.	-	-	-	-	-	-	-	-	Epiphytic, stoloniferous herb, strongly glandular dotted, erect, hanging, prostrate or ascending. 	-	-	-	-	-	-	-	Inflorescence |, single, or several in upper leaf axils, 	-	-	-	-	-	-	-	floral bracts rounded, glabrous and black-glandular. 	-	-	-	-	-	erect to pendent	-	-	-	peduncle |, glabrous, black-glandular; 	0.5-1.5 cm long	terminal	-	spike |, moderately densely flowered, flowers distinctly separate; 	-	-	to 16 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves basely attached, alternate;      	blade |, densely black-glandular (when dried), |, 	apex acute to acuminate, 	base acute to acuminate, sometimes subobtuse, glabrous; 	-	-	1.5-8(-11) x 0.5-3.5(-5) cm	margin ciliate near apex, 	narrowly ovate or ovate	fleshy to membranous	-	petiole |, usually ciliate with 2 rows of hairs; 	0.5-1(-2.5) cm long	-	-	-	-	venation obvious, pli- or palmately 3-5-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem |, green or reddish, glabrous, except for lines of hairs decurrent from nodes. 	-	-	to 15 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia gracieana 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Epiphytic, terrestrial or epilithic herb, creeping and rooting at nodes. 	-	-	-	-	-	-	-	Inflorescence single, 	-	-	-	-	-	-	-	floral bracts rounded, glabrous. 	-	-	-	-	-	-	-	-	-	peduncle slender, |, glabrous, green; 	1.5-1.7 cm long	axillary	-	spike laxly flowered, |, green; 	-	-	4-6 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Young fruits flat at apex, green, 	Leaves alternate, distinctly peltate;      	blade 	apex rounded, 	base rounded, pilose with erect trichomes on upper surface; 	-	-	1-4.5 x 1-3.5 cm	-	broadly elliptic to orbicular	fleshy in vivo, membranous almost transparent when dried	-	petiole |, glabrous; 	1-5(-10) cm long	-	-	-	-	venation obvious in dried state, veins 6-8 from base. 	mature fruits not yet collected.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem glabrous, |, whitish green. 	-	-	40 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
