-	/dispersal	/flowers	/flowers/ovary	/flowers/ovary/stigma	/flowers/stamens	/flowers/stamens/filaments	/fruits	/fruits/apex	/fruits/diameter	/fruits/dimensions	/fruits/length	/fruits/seeds	/fruits/stigma	/fruits/stigma/length	/fruits/thickness	/fruits/width	/habit	/habit/fertile stems	/habit/height	/habit/length	/habit/odor	/habit/rhizome	/habit/upper internodes	/indumentum	/inflorescences	/inflorescences/anthers	/inflorescences/common peduncle	/inflorescences/common peduncle/lateral branches	/inflorescences/common peduncle/lateral branches/length	/inflorescences/common peduncle/length	/inflorescences/common peduncle/peduncle	/inflorescences/common peduncle/peduncle/length	/inflorescences/floral bracts	/inflorescences/floral bracts/diameter	/inflorescences/floral bracts/filaments	/inflorescences/floral bracts/rachises	/inflorescences/flower number	/inflorescences/flowers	/inflorescences/growth form	/inflorescences/length	/inflorescences/ovary	/inflorescences/ovary/stigma	/inflorescences/peduncle	/inflorescences/peduncle/length	/inflorescences/position	/inflorescences/rachises	/inflorescences/spikes	/inflorescences/spikes/diameter	/inflorescences/spikes/dimensions	/inflorescences/spikes/length	/inflorescences/spikes/rachises	/inflorescences/spikes/thickness	/inflorescences/spikes/width	/inflorescences/stamens	/inflorescences/stamens/anthers	/inflorescences/stamens/length	/inflorescences/thecae	/infructescences	/infructescences/dimensions	/infructescences/fruits	/infructescences/fruits/diameter	/infructescences/fruits/stigma	/infructescences/fruits/thickness	/infructescences/fruits/width	/infructescences/length	/infructescences/stigma	/infructescences/thickness	/infructescences/width	/internodes	/juvenile fruits	/leaves	/leaves/blade	/leaves/blade/apex	/leaves/blade/base	/leaves/blade/base/length	/leaves/blade/diameter	/leaves/blade/dimensions	/leaves/blade/margins	/leaves/blade/shape	/leaves/blade/texture	/leaves/fertile branches	/leaves/petiole	/leaves/petiole/length	/leaves/petiole/relative distance	/leaves/prophyllum	/leaves/shape	/leaves/stipules	/leaves/veins	/mature fruits	/petiole	/petiole/blade	/petiole/blade/apex	/petiole/blade/base	/petiole/blade/base/differential distance	/petiole/blade/dimensions	/petiole/blade/margins	/petiole/blade/shape	/petiole/blade/texture	/petiole/length	/petiole/ligula	/petiole/ligula/length	/petiole/margins	/petiole/margins/apex	/petiole/margins/base	/petiole/margins/base/differential distance	/petiole/margins/length	/petiole/secondary veins	/petiole/veins	/prophyllum	/prophyllum/length	/prophyllum/sheaths	publication	/shoot apex	/stamens	/stamens/anthers	/stamens/filaments	/stamens/ovary	/stems	/stems/internodes	/stems/internodes/length	/stems/length	/stems/nodes	/stems/thickness	/stems/upper internodes	/stems/upper internodes/length	/stipules	/stipules/blade	/stipules/blade/apex	/stipules/blade/base	/stipules/blade/base/differential distance	/stipules/blade/dimensions	/stipules/blade/margins	/stipules/blade/shape	/stipules/blade/texture	/stipules/dimensions	/stipules/length	/stipules/petiole	/stipules/petiole/length	/stipules/veins	/upper internodes	/habitat	/habitat/altitude	
PIPERACEAE  	Fruits are said to be dispersed by bats or epizoochorous.	     	ovary sessile or stipitate, 1-locular with 1 ovule,       	stigmas 1-4. 	stamens 1-6; 	-	Fruits small drupes or nuts.	-	-	-	-	-	-	-	-	-	Herbs, shrubs or treelets, sometimes scandent, rarely lianas. 	-	-	-	-	-	-	-	Inflorescences |, axillary, or leaf-opposed spikes with minute flowers, solitary or few together, or occasionally spikes arranged in panicles or umbels. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	terminal	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	prophyll often present, sometimes enclosing shoot-apex. 	-	stipules absent or present; 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
PEPEROMIA  	-	-	-	-	-	-	     	apex obliquely scutellate or truncate, with or without a slender beak, 	-	-	-	-	stigma apical, central or at base of beak.	-	-	-	Small epiphytic, epilithic, or terrestrial, succulent herbs, creeping, prostrate, hanging, ascending or erect. 	-	-	-	-	-	-	-	Inflorescences |, solitary or few together, occasionally paniculate; 	-	-	-	-	-	-	-	floral bracts peltate, mainly rounded, glabrous, often glandular. 	-	-	-	-	flowers numerous, loosely or less often densely arranged, sometimes partly sunken in the rachis; 	-	-	-	-	-	-	terminal, leaf-opposed or axillary spikes	rachis glabrous (but hairy in P. tetraphylla); 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pinnately or palmately veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	anthers 2-locular; 	filaments short, 	ovary with 1 style and stigma, or stigma sessile. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia alata 	-	-	-	-	-	-	     	apex oblique with subapical stigma.	-	-	-	-	-	-	-	-	Epiphytic, epilithic or terrestrial, glabrous herb. 	-	-	-	-	-	-	-	Inflorescence |, single or few together, |, green; |, yellow; 	-	-	-	-	-	-	-	floral bracts rounded, glabrous, slightly glandular. 	-	-	-	-	-	erect	-	-	-	peduncle not slender, 	0.3-1.5 cm long	terminal or axillary	-	spike 	-	-	6-14 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	blade 	apex acuminate, 	base acute, glabrous; 	-	-	4.5-13 x 2-5 cm	margin may be ciliate towards apex, 	elliptic or broadly elliptic or ovate	fleshy membranous or coriaceous	-	petiole 	0.3-3 cm long	-	-	-	-	3-5(-7)-pli- or palmately veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem ascending, 	internodes winged or ridged below nodes, green or reddish. 	-	10-40 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	from sea level up to 1700 m	
Peperomia angustata 	-	-	-	-	-	-	     	apex obliquely scutellate, 	-	-	-	-	stigma apical.	-	-	-	Terrestrial, epiphytic or epilithic herb, erect, creeping or ascending, rooting at nodes. 	-	-	-	-	-	-	-	Inflorescence single, |, glabrous or minutely pubescent, red; |, moderately to densely flowered; 	-	-	-	-	-	-	-	floral bracts rounded to oblong, slightly glandular. 	-	-	-	-	-	erect	-	-	-	peduncle slender, 	2-3 cm long	terminal	-	spike 	-	-	10-16 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	blade 	apex acute or acuminate, 	base acutish to cuneate, glabrous; 	-	-	2-6(-9) x 1-3(-4) cm	-	rhombic to elliptic or oblanceolate	fleshy to coriaceous	-	petiole 	0.2-1.5 cm long	-	-	-	-	palmately 3(-5)-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem glabrous, |, green or reddish. 	-	-	30-100 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	in forests, 	from sea level up to 2400 m	
Peperomia blanda 	-	-	-	-	-	-	     	apex oblique with subapical stigma.	-	-	-	-	-	-	-	-	Terrestrial, epiphytic or epilithic herb, erect or ascending from rooting base. 	-	-	-	-	-	-	-	Inflorescence |, single or few together; |, pubescent or crisp-pubescent; |, green, densely to laxly flowered; 	-	-	-	-	-	-	-	floral bracts rounded, glandular. 	-	-	-	-	-	-	-	-	-	peduncle 	0.7-3.2 cm long	terminal or axillary	-	spike 	-	-	2.5-15 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	blade 	apex acute or somewhat acuminate, 	base acute, pubescent usually on both sides; 	-	-	2-8 x 0.8-4 cm	margin ciliate, 	elliptic, narrowly elliptic, or obovate, often rhombic	slightly fleshy	-	petiole 	0.2-1(-1.8) cm long	-	-	-	-	palmately 3(-5)-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem villous, often fuscous, green or reddish, 	-	-	10-20(-60) cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	above 200 m, up to 1100 m	
Peperomia delascioi 	-	-	-	-	-	-	Fruits stipitate pale brown, smooth, oblong-ellipsoid, |, crowned with a persistent, conic style, 	-	-	1-1.1 x 0.5 mm	-	-	stigma apical, mammiform.	-	-	-	Terrestrial herb, non-creeping, suberect or ascending |, not rooting at nodes. 	-	up to 9 cm	-	-	-	-	-	Inflorescence |, solitary; |, minutely hirtellous, without bracts; 	-	-	-	-	-	-	-	floral bracts rounded, umbonate with pale margin, 	0.3 mm in diam.	-	-	-	-	erect	-	-	-	peduncle 	0.3-0.5(-2) cm long	terminal opposite the uppermost leaves	rachis glabrous. 	spike with scattered flowers, 	-	-	0.6-3 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	blade basely attached or slightly peltate, 	apex emarginate with some hairs at notch, 	base rounded or subtruncate, glabrous above, minutely hirtellous at base below; 	-	-	0.5-0.8 x 0.5-1 cm	margin not ciliate, 	oblately suborbicular	fleshy-membranous	-	petiole 	0.3-0.8 cm long	-	-	-	-	palmately 3-5-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem minutely hirtellous (spreading hairs 	-	-	0.1 mm long	-	-	upper internodes 	4-10 mm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Altitudes 	above 2000 m	
Peperomia emarginella 	-	-	-	-	-	-	Fruits basely attached (according to Steyermark, on a short stipe), ellipsoid, 	-	-	-	ca. 1 mm long with apical stigma	-	-	-	-	-	Epiphytic or epilithic, or epiphyllous herb, creeping and rooting at nodes, glabrous or sparsely villous. 	-	-	-	-	-	-	-	Inflorescence |, single, |, pinkish; |, laxly flowered; 	-	-	-	-	-	-	-	floral bracts sub-orbicular to oblong. 	-	-	-	-	-	erect	-	-	-	peduncle slender, 	to 1 cm long	terminal	-	spike 	-	-	to 1.5 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	blade 	apex emarginate, 	base rounded or truncate, glabrous or with a few hairs; 	-	0.15-0.6 cm in diam.	-	margin somewhat ciliate, 	orbicular or subreniform	slightly fleshy	-	petiole 	0.1-0.5 cm long	-	-	-	-	obsoletely palmately 3-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	from sea level to 600 m	
Peperomia galioides 	-	-	-	-	-	-	     	apex oblique with subapical stigma.	-	-	-	-	-	-	-	-	Terrestrial, epilithic or epiphytic, cespitose herb. 	-	-	-	-	-	-	-	Inflorescence |, often in groups of 2-5; |, minutely pubescent to glabrous, winged, green; |, pale yellow to green, laxly flowered; 	-	-	-	-	-	-	-	floral bracts rounded, glandular. 	-	-	-	-	-	-	-	-	-	peduncle not slender, 	0.2-1.2 cm long	terminal or axillary	-	spike 	-	-	up to 15 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	blade 	-	base acutish, glabrous; 	-	-	0.5-3.0 x 0.2-0.6 cm	-	narrowly spathulate, narrowly elliptic or narrowly oblanceolate, larger towards apex of stem	fleshy to subcoriaceous	-	petiole 	to 0.3 cm long	-	-	-	-	venation slightly obvious, palmately 3-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem minutely pubescent to glabrous, |, green or green with red spots or reddish. 	-	-	10-80 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Altitudes 	2250-2500 m, 2700 m	
Peperomia glabella 	-	-	-	-	-	-	     	apex oblique with subapical stigma.	-	-	-	-	-	-	-	-	Epiphytic, stoloniferous herb, strongly glandular dotted, erect, hanging, prostrate or ascending. 	-	-	-	-	-	-	-	Inflorescence |, single, or several in upper leaf axils, |, glabrous, black-glandular; |, moderately densely flowered, flowers distinctly separate; 	-	-	-	-	-	-	-	floral bracts rounded, glabrous and black-glandular. 	-	-	-	-	-	erect to pendent	-	-	-	peduncle 	0.5-1.5 cm long	terminal	-	spike 	-	-	to 16 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	blade 	apex acute to acuminate, 	base acute to acuminate, sometimes subobtuse, glabrous; 	-	-	1.5-8(-11) x 0.5-3.5(-5) cm	margin ciliate near apex, 	narrowly ovate or ovate	fleshy to membranous	-	petiole 	0.5-1(-2.5) cm long	-	-	-	-	venation obvious, pli- or palmately 3-5-veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem |, green or reddish, glabrous, except for lines of hairs decurrent from nodes. 	-	-	to 15 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	from sea level up to 2400 m	
Peperomia gracieana 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Epiphytic, terrestrial or epilithic herb, creeping and rooting at nodes. 	-	-	-	-	-	-	-	Inflorescence single, |, glabrous, green; |, green; 	-	-	-	-	-	-	-	floral bracts rounded, glabrous. 	-	-	-	-	-	-	-	-	-	peduncle slender, 	1.5-1.7 cm long	axillary	-	spike laxly flowered, 	-	-	4-6 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Young fruits flat at apex, green, 	     	blade 	apex rounded, 	base rounded, pilose with erect trichomes on upper surface; 	-	-	1-4.5 x 1-3.5 cm	-	broadly elliptic to orbicular	fleshy in vivo, membranous almost transparent when dried	-	petiole 	1-5(-10) cm long	-	-	-	-	venation obvious in dried state, veins 6-8 from base. 	mature fruits not yet collected.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem glabrous, |, whitish green. 	-	-	40 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	in non-flooded moist forest, creeping and forming loose mats along creeks on rocks, on the forest floor, or on fallen logs, 	between 150-500 m	
