-	/anthocarps*	/anthocarps*/shape	/anthocarps*/texture	/anthocarps*/hairs	/anthocarps*/hairs/shape	/anthocarps/colour*	/anthocarps/colour*/growth form	/anthocarps/colour*/colour	/anthocarps/dimensions*	/anthocarps/hairs*	/anthocarps/hairs*/shape	/anthocarps/hairs*/texture	/anthocarps/hairs*/hairs	/anthocarps/shape*	/anthocarps/shape*/shape	/capsules*	/capsules*/shape	/capsules*/texture	/capsules*/hairs	/capsules/seeds/shape*	/capsules/seeds/shape*/shape	/female perianth*	/female perianth*/shape	/female perianth/shape*	/female perianth/shape*/shape	/flowers*	/flowers*/shape	/flowers*/texture	/flowers*/hairs	/flowers*/growth form	/flowers/dimensions*	/flowers/ovary*	/flowers/ovary*/shape	/flowers/ovary*/position	/flowers/ovary/locule number*	/flowers/ovary/shape*	/flowers/ovary/shape*/shape	/flowers/ovary/shape*/texture	/flowers/ovary/style*	/flowers/ovary/style*/shape	/flowers/stamens/anthers*	/flowers/stamens/anthers*/shape	/flowers/stamens/filaments*	/flowers/stamens/filaments*/shape	/flowers/stamens/filaments*/growth form	/flowers/stamens/stamen number*	/fruits*	/fruits*/shape	/fruits*/texture	/fruits*/hairs	/fruits*/growth form	/fruits/seeds/colour*	/fruits/seeds/colour*/texture	/fruits/seeds/colour*/colour	/fruits/seeds/embryo*	/fruits/seeds/embryo*/shape	/fruits/seeds/shape*	/fruits/seeds/shape*/shape	/fruits/seeds/testa/texture*	/fruits/seeds/testa/texture*/shape	/fruits/seeds/testa/texture*/texture	/fruits/seeds/testa/texture*/growth form	/fruits/shape*	/fruits/shape*/shape	/fruits/texture*	/fruits/texture*/texture	/habit*	/habit*/environment	/habit*/shape	/habit*/texture	/habit*/growth form	/habit*/colour	/habit/growth form*	/habit/growth form*/environment	/habit/growth form*/growth form	/habit/hairs*	/habit/hairs*/hairs	/habit/height*	/habit/height*/shape	/habit/stems*	/habit/stems*/shape	/habit/stems*/texture	/habit/stems*/growth form	/habit/stems/colour*	/habit/stems/colour*/colour	/habit/stems/growth form*	/habit/stems/growth form*/growth form	/habit/stems/hairs*	/habit/stems/hairs*/hairs	/habit/stems/length*	/inflorescences*	/inflorescences*/shape	/inflorescences*/position	/inflorescences*/margin type	/inflorescences*/hairs	/inflorescences*/growth form	/inflorescences*/colour	/inflorescences/bracteoles*	/inflorescences/bracteoles*/shape	/inflorescences/bracteoles*/margin type	/inflorescences/bracteoles/bracteole number*	/inflorescences/bracteoles/length*	/inflorescences/bracteoles/shape*	/inflorescences/bracteoles/shape*/shape	/inflorescences/bracts*	/inflorescences/bracts*/shape	/inflorescences/bracts and bracteoles*	/inflorescences/bracts and bracteoles*/shape	/inflorescences/bracts/length*	/inflorescences/bracts/shape*	/inflorescences/bracts/shape*/shape	/inflorescences/flower number*	/inflorescences/flower number*/hairs	/inflorescences/flowers*	/inflorescences/flowers*/shape	/inflorescences/flowers*/colour	/inflorescences/hairs*	/inflorescences/hairs*/shape	/inflorescences/hairs*/texture	/inflorescences/hairs*/hairs	/inflorescences/hairs*/colour	/inflorescences/length*	/inflorescences/pedicels*	/inflorescences/pedicels*/shape	/inflorescences/pedicels*/texture	/inflorescences/pedicels/hairs*	/inflorescences/pedicels/hairs*/shape	/inflorescences/pedicels/hairs*/hairs	/inflorescences/pedicels/length*	/inflorescences/peduncle/hairs*	/inflorescences/peduncle/hairs*/shape	/inflorescences/peduncle/hairs*/hairs	/inflorescences/peduncle/length*	/inflorescences/position*	/inflorescences/position*/shape	/inflorescences/position*/position	/inflorescences/position*/growth form	/inflorescences/shape*	/inflorescences/shape*/shape	/inflorescences/shape*/position	/leaves*	/leaves*/shape	/leaves*/margin type	/leaves*/hairs	/leaves*/growth form	/leaves/blade*	/leaves/blade*/shape	/leaves/blade*/texture	/leaves/blade*/margin type	/leaves/blade*/hairs	/leaves/blade*/colour	/leaves/blade/dimensions*	/leaves/blade/dimensions*/shape	/leaves/blade/hairs*	/leaves/blade/hairs*/shape	/leaves/blade/hairs*/position	/leaves/blade/hairs*/hairs	/leaves/blade/hairs*/hairs/shape	/leaves/blade/shape*	/leaves/blade/shape*/shape	/leaves/blade/shape/dimensions*	/leaves/blade/texture*	/leaves/blade/texture*/texture	/leaves/blade/texture*/hairs	/leaves/length*	/leaves/petiole*	/leaves/petiole*/shape	/leaves/petiole*/texture	/leaves/petiole*/growth form	/leaves/petiole/hairs*	/leaves/petiole/hairs*/texture	/leaves/petiole/hairs*/hairs	/leaves/petiole/length*	/leaves/shape*	/leaves/shape*/shape	/leaves/shape*/margin type	/leaves/shape/dimensions*	/leaves/stipules*	/leaves/stipules*/shape	/leaves/stipules*/position	/leaves/stipules*/growth form	/leaves/stipules/length*	/male flowers/tepals/shape*	/male flowers/tepals/shape*/shape	/male perianth*	/male perianth*/position	/male perianth*/growth form	/male perianth/shape*	/male perianth/shape*/shape	/male perianth/shape*/texture	/male perianth/stamens/stamen number*	/petiole*	/petiole*/shape	/petiole*/margin type	/petiole/blade/apex/shape*	/petiole/blade/apex/shape*/shape	/petiole/blade/base/shape*	/petiole/blade/base/shape*/shape	/petiole/blade/dimensions*	/petiole/blade/shape*	/petiole/blade/shape*/shape	/petiole/blade/shape/dimensions*	/petiole/length*	/seeds*	/seeds*/hairs	/seeds*/growth form	/sepals*	/sepals*/shape	/sepals*/margin type	/sepals*/growth form	/sepals/shape*	/sepals/shape*/shape	/sepals/stamens/stamen number*	/stems*	/stems*/shape	/stems*/growth form	/tepals*	/tepals*/shape	/tepals*/margin type	/tepals*/hairs	/tepals*/growth form	/tepals/colour*	/tepals/colour*/colour	/tepals/hairs*	/tepals/hairs*/shape	/tepals/hairs*/hairs	/tepals/shape*	/tepals/shape*/shape	/tepals/shape/length*	/tepals/stamens/stamen number*	/utricles*	/utricles*/shape	/utricles*/texture	/utricles*/growth form	/utricles/seeds/colour*	/utricles/seeds/colour*/colour	/utricles/seeds/shape*	/utricles/seeds/shape*/shape	/utricles/shape*	/utricles/shape*/shape	/utricles/shape*/texture	/habitat*	/habitat*/environment	/habitat*/texture	/habitat*/hairs	/habitat*/growth form	/habitat*/colour	/habitat/altitude*	/habitat/altitude*/environment	
  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CACTACEAE  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
PHYTOLACCACEAE  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	ovary superior or half-inferior, 	-	 half-inferior,superior	1- to 16-locular	-	-	-	style, if present, as many as carpels, usually free, 	-	anthers 	-	filaments in 	-	-	3-20	     	-	-	-	-	-	-	-	embryo curved.	curved	-	-	-	-	-	-	-	-	-	-	Herbs, shrubs or lianas (vines), rarely trees. 	shrub	-	-	vine	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescence a 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pedicels bracteate. 	-	-	-	-	-	-	-	-	-	-	terminal or pseudoaxillary	-	pseudoaxillary,terminal	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	petiole deeply sulcate adaxially; 	-	-	-	-	-	-	-	-	-	-	-	stipules present or absent. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
MICROTEA  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	ovary 	-	-	1-loculed	globose, stipitate	globose,stipitat	-	style absent or nearly so, 	-	anthers dorsifixed, 	-	-	-	-	3-5, alternating with tepals, or 6-9 with 	Fruits small, thin-walled drupes or achenes, |, 	small	thin	-	-	-	-	-	embryo curved, 	curved	lenticular	lenticular	crustaceous	-	crustaceous	-	-	-	tuberculate, glochidiate, muricate, spiny or smooth	muricate,smooth,tuberculate	Annual herbs, |, sometimes slightly woody at base. 	-	-	-	-	-	sprawling	-	sprawling	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescences 	-	-	-	-	-	-	bracteoles 	-	-	0 or 2	-	-	-	bracts present; 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	terminal or extra-axillary	-	extra-axillary,terminal	-	-	-	-	Leaves petiolate or subpetiolate, stipules absent. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Microtea debilis 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Narrowly taprooted herb. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescence a |, obtuse	obtuse	-	-	-	-	-	bracteole 	-	-	-	ca. 0.8-1 mm long	elliptical	elliptical	bract seemingly only an enation, 	-	-	-	-	ovate, 	ovate	-	-	-	-	-	-	-	-	-	-	1.5-4(-5.5) cm long	pedicels 	-	-	-	-	-	0.8-1.2 mm long	-	-	-	-	-	-	-	-	-	-	-	Leaves |, acute to acuminate, and apiculate at apex, cuneate at base, broadly decurrent on petiole	acuminate,acute,apiculate,cuneate,decurrent	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	petiole 	-	-	-	-	-	-	to 3 cm long	elliptical or ovate (rhombic-ovate to oblanceolate), near base of plant 	elliptical,oblanceolate,ovate,rhombic	-	to 8 x 3 cm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem ascending to prostrate, sharply angled, 	-	ascending	Tepals |, subacute or obtuse|, alternate with and reflexed between tepals, |, 	obtuse,subacute	-	-	-	white with green	green,white	-	-	-	lanceolate or ovate, 	lanceolate,ovate	0.5-1.1 mm long	5	-	-	-	-	-	-	-	-	-	-	-	in the Guianas in disturbed habitats such as lawns, pastures and sandy roadsides	-	-	-	-	-	-	-	
Microtea maypurensis 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Erect to decumbent herb 	-	-	-	-	-	-	-	-	-	-	to 50 cm tall	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescence a |, acute	acute	-	-	-	-	-	bracteoles 	-	-	-	ca. 0.3 mm long	linear-subulate	linear,subulate	bracts 	-	-	-	-	lanceolate, 	lanceolate	-	-	-	-	-	-	-	-	-	-	-	pedicels 	-	-	-	-	-	ca. 1.5 mm long	-	-	-	-	terminal, rarely axillary	-	axillary,terminal	-	pedunculate, elongate	elongate	-	Leaves |, acute at apex and base	acute	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	petiole 	-	-	-	-	-	-	ca. 1 cm long	lanceolate or linear-lanceolate, rarely elliptic-lanceolate, 	elliptic,lanceolate,linear	-	ca. 3.5 x 0.3-1 cm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem slender, 	slender	-	Tepals |, acute|, |, 	acute	-	-	-	-	-	-	-	-	elliptical, 	elliptical	ca. 1.5 mm long	6-9	-	-	-	-	-	-	-	-	-	-	-	in the Guianas found along riverbanks or in disturbed sites	-	-	-	-	-	-	-	
PETIVERIA  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	ovary 	-	-	1-loculed	narrowly subellipsoid or oblongoid, flattened	flattened,narrow,oblongoid,subellipsoid	-	style absent, 	-	anthers seemingly medifixed, 	-	filaments unequal, shorter than tepals, 	short	-	4-8	Fruits |, 	-	-	-	-	-	-	-	-	-	linear	linear	membranous	-	membranous	-	-	-	-	-	Herbs or subshrubs, slightly woody at base. 	subshrub	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescences elongated, 	elongate	-	-	-	-	-	-	-	-	-	-	-	-	bracteate and bracteolate. 	-	-	-	-	-	-	-	-	flowers subsessile or pedicellate; 	subsessile	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	axillary or terminal	-	axillary,terminal	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	stipules present, minute. 	minute	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Petiveria alliacea 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit |, cuneate, striate	cuneate,striate	-	-	-	-	-	-	-	-	-	-	-	-	-	-	linear or narrowly oblongoid, 	linear,narrow,oblongoid	-	-	Perennial 	-	-	-	-	-	erect	-	erect	-	-	to 1-2 m tall	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescence a laxly flowered spike-like raceme 	-	-	-	-	-	-	bracteoles persistent, 	-	-	-	1 mm long	-	-	bracts 	-	-	-	1-3 mm long	lanceolate to deltate	deltate,lanceolate	-	-	flowers sessile or subsessile; 	sessile	-	-	-	-	-	-	to 45 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves |, acute to acuminate (sometimes obtuse to subretuse, de Granville 2532) at apex|, 	acuminate,acute,obtuse,retuse	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	petiole 	-	-	-	glabrate	-	glabrate	to 2 cm long	elliptical, obovate or ovate, 	elliptical,obovate	-	to 16(-20) x 7 cm	stipules 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem angled or ribbed, 	-	-	Tepals |, acute or acuminate at apex|, |, deeply sagittately cleft at base and apex	acuminate,acute	-	-	-	-	-	often pubescent at base and on lower part of veins	-	-	linear or oblong, 	linear,oblong	-	-	-	-	-	-	-	-	-	-	-	-	-	in the Guianas a weed in disturbed areas such as roadsides and flower beds	-	-	-	-	-	-	-	
PHYTOLACCA  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Flowers |, free, equal or subequal; |, in |, on a hypogynous disk; |, carpels free or united, |, basal, campylotropous, 	-	-	-	-	-	ovary 5-	-	-	-	-	-	-	styles free, 	-	-	-	-	-	-	(5-)8-22(-33)	Fruits aggregations of |, 	-	-	-	-	black, shining	-	black	embryo curved or annular.	curved	reniform or subreniform	reniform	-	-	-	-	-	-	-	-	Herbs, shrubs or rarely trees. 	shrub	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescences 	-	-	-	-	-	-	bracteoles randomly inserted along pedicel. 	-	-	-	-	-	-	bracts 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	mostly terminal	-	terminal	-	occasionally thyrsiform or paniculiform below	thyrsiform	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	stipules absent. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Phytolacca rivinoides 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Inflorescence a |, 	-	-	-	-	-	-	bracteoles 	-	-	1-2	0.4-1.5 mm long	linear	linear	bracts subtending pedicel 	-	-	-	1.5-5 mm long	linear, lance-linear or lanceolate	lance,linear	-	-	flowers widely spaced; 	wide	-	-	-	-	-	-	to 65(-70) cm long	pedicels 	-	-	glabrous	-	glabrous	5-17 mm long	-	-	-	-	terminal or (pseudolateral) axillary	-	axillary,lateral,terminal	-	-	-	-	Leaves |, 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	petiole 	-	-	-	glabrous	-	glabrous	1-7 cm long	ovate, elliptical, lanceolate or oblong	elliptical,lanceolate,oblong,ovate	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stem ribbed, angled, 	-	-	Tepals |, obtuse|, becoming reflexed, deciduous in fruit; |, |, cordate at base and apex	cordate,obtuse	-	-	-	white or pink	pink,white	glabrous	-	glabrous	ovate, 	ovate	-	(7-)9-14(-22)	-	-	-	-	-	-	-	-	-	-	-	in the Guianas found along trails, roadsides, and altered ground such as airstrips and disturbed forests	forest	-	-	-	-	-	-	
