-	/calyx*	/calyx*/shape	/calyx*/margin type	/calyx*/hairs	/calyx*/growth form	/calyx*/colour	/calyx/apex*	/calyx/apex*/shape	/calyx/apex*/margin type	/calyx/apex*/hairs	/calyx/apex/hairs*	/calyx/apex/hairs*/shape	/calyx/apex/hairs*/hairs	/calyx/apex/hairs*/hairs/shape	/calyx/colour*	/calyx/colour*/colour	/calyx/corolla/base*	/calyx/corolla/base*/shape	/calyx/corolla/base/width*	/calyx/corolla/base/width*/shape	/calyx/corolla/colour*	/calyx/corolla/colour*/colour	/calyx/corolla/length*	/calyx/corolla/limbs/width*	/calyx/corolla/limbs/width*/shape	/calyx/corolla/lobes/dimensions*	/calyx/corolla/lobes/dimensions*/shape	/calyx/corolla/lobes/shape*	/calyx/corolla/lobes/shape*/shape	/calyx/corolla/margins/margin type*	/calyx/corolla/margins/margin type*/shape	/calyx/corolla/margins/margin type*/margin type	/calyx/corolla/margins/margin type*/hairs	/calyx/corolla/shape*	/calyx/corolla/shape*/shape	/calyx/corolla/shape*/position	/calyx/corolla/throat*	/calyx/corolla/throat*/shape	/calyx/corolla/throat/hairs*	/calyx/corolla/throat/hairs*/shape	/calyx/corolla/throat/hairs*/hairs	/calyx/corolla/throat/hairs*/hairs/shape	/calyx/corolla/throat/hairs*/growth form	/calyx/corolla/throat/width*	/calyx/corolla/throat/width*/shape	/calyx/corolla/tube*	/calyx/corolla/tube*/shape	/calyx/corolla/tube/length*	/calyx/corolla/tube/shape*	/calyx/corolla/tube/shape*/shape	/calyx/disk*	/calyx/disk*/shape	/calyx/disk*/margin type	/calyx/disk*/growth form	/calyx/disk/gland number*	/calyx/disk/gland number*/shape	/calyx/disk/gland number*/growth form	/calyx/free portion of lobes/dimensions*	/calyx/free portion of lobes/dimensions*/shape	/calyx/free portion of lobes/shape*	/calyx/free portion of lobes/shape*/shape	/calyx/free portion of lobes/shape*/growth form	/calyx/lobes*	/calyx/lobes*/shape	/calyx/lobes*/growth form	/calyx/lobes/dimensions*	/calyx/lobes/dimensions*/shape	/calyx/lobes/dorsal lobes*	/calyx/lobes/dorsal lobes*/shape	/calyx/lobes/shape*	/calyx/lobes/shape*/shape	/calyx/margins/margin type*	/calyx/margins/margin type*/shape	/calyx/margins/margin type*/margin type	/calyx/margins/margin type*/hairs	/calyx/ovary*	/calyx/ovary*/shape	/calyx/ovary*/position	/calyx/ovary/dimensions*	/calyx/ovary/dimensions*/shape	/calyx/ovary/hairs*	/calyx/ovary/hairs*/shape	/calyx/ovary/hairs*/hairs	/calyx/ovary/shape*	/calyx/ovary/shape*/shape	/calyx/ovary/shape*/position	/calyx/ovary/stigma*	/calyx/ovary/stigma*/shape	/calyx/ovary/style/hairs*	/calyx/ovary/style/hairs*/shape	/calyx/ovary/style/hairs*/hairs	/calyx/ovary/style/length*	/calyx/shape*	/calyx/shape*/shape	/calyx/stamens*	/calyx/stamens*/position	/calyx/stamens/anthers*	/calyx/stamens/anthers*/shape	/calyx/stamens/relative distance*	/calyx/stamens/thecae*	/calyx/stamens/thecae*/shape	/calyx/stamens/thecae*/growth form	/calyx/staminodes*	/calyx/staminodes*/shape	/calyx/tube/length*	/flowers*	/flowers*/shape	/flowers/bracteoles*	/flowers/bracteoles*/shape	/flowers/flower number per inflorescence*	/flowers/pedicels/hairs*	/flowers/pedicels/hairs*/shape	/flowers/pedicels/hairs*/texture	/flowers/pedicels/hairs*/hairs	/flowers/pedicels/hairs*/hairs/shape	/flowers/pedicels/length*	/flowers/peduncle*	/flowers/peduncle*/shape	/flowers/peduncle/hairs*	/flowers/peduncle/hairs*/shape	/flowers/peduncle/hairs*/texture	/flowers/peduncle/hairs*/hairs	/flowers/peduncle/length*	/fruits*	/fruits*/shape	/fruits/colour*	/fruits/colour*/colour	/habit*	/habit*/environment	/habit*/shape	/habit*/growth form	/habit/growth form*	/habit/growth form*/texture	/habit/growth form*/position	/habit/growth form*/growth form	/habit/height*	/habit/height*/shape	/habit/length*	/leaves*	/leaves*/shape	/leaves/blade/apex*	/leaves/blade/apex*/shape	/leaves/blade/base*	/leaves/blade/base*/shape	/leaves/blade/base*/growth form	/leaves/blade/base/hairs*	/leaves/blade/base/hairs*/shape	/leaves/blade/base/hairs*/texture	/leaves/blade/base/hairs*/hairs	/leaves/blade/base/hairs*/colour	/leaves/blade/base/shape*	/leaves/blade/base/shape*/shape	/leaves/blade/dimensions*	/leaves/blade/larger blade/dimensions*	/leaves/blade/margins/margin type*	/leaves/blade/margins/margin type*/shape	/leaves/blade/margins/margin type*/margin type	/leaves/blade/margins/margin type*/growth form	/leaves/blade/shape*	/leaves/blade/shape*/shape	/leaves/blade/texture*	/leaves/blade/texture*/texture	/leaves/petiole/hairs*	/leaves/petiole/hairs*/hairs	/leaves/petiole/length*	/mature berries/colour*	/mature berries/colour*/colour	/mature berries/dimensions*	/mature capsules/colour*	/mature capsules/colour*/position	/mature capsules/colour*/colour	/mature capsules/dimensions*	/mature capsules/shape*	/mature capsules/shape*/shape	/mature capsules/shape*/position	/stems*	/stems*/shape	/stems*/growth form	/stems/growth form*	/stems/growth form*/growth form	/stems/hairs*	/stems/hairs*/hairs	/habitat*	/habitat*/environment	/habitat*/shape	/habitat*/hairs	/habitat*/growth form	/habitat*/colour	/habitat/altitude*	/habitat/altitude*/environment	
GESNERIACEAE  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit a berry, or a |, very small, usually striate.	small,striate	-	-	     	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	membranous, fleshy or coriaceous	coriaceous,fleshy,membranous	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
ALLOPLECTUS  	Calyx lobes |, nearly free, |, 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yellow or red	red	-	-	-	-	-	-	-	-	-	-	-	tubular	tubular	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	disc a single dorsal, large, sometimes 	large	-	single	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ovary superior,       	-	superior	-	-	-	-	-	-	-	-	stigma stomatomorphic to 	-	-	-	-	-	ovate to cordate at base	cordate,ovate	stamens included,       	-	anthers coherent or becoming free, dehiscing by longitudinal slits, 	dehiscing	-	thecae parallel; 	-	parallel	staminode small; 	small	-	Flowers |, epedunculate inflorescences; 	-	bracteoles small; 	small	few-flowered	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit a |, 	-	green	green	Terrestrial or epiphytic, caulescent, |, coarse herbs or shrubs, without modified stems. 	epiphytic,shrub	-	-	clambering or erect	-	-	clambering,erect	-	-	-	Leaves opposite, usually equal in a pair, venation pinnate, foliar nectaries absent. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stems rarely branched. 	branched	-	-	-	-	-	mostly growing in 	-	-	-	-	-	lowland to mid-elevation	lowland	
Alloplectus cristatus 	Calyx angulate, |, |, |, middle subventricose, |, 	subventricose	-	-	-	-	apex acute to acuminate, 	acuminate,acute	-	-	on both sides strigillose	-	strigillose	-	pale pink to dark red	dark red,pink	base gibbous posteriorly, 	-	0.3-0.5 cm wide	wide	yellow	-	2.5-3.5 cm long	0.9-1.4 cm wide	wide	0.2-0.4 x 0.25-0.4 cm wide	wide	rounded	rounded	minutely dentate	minute	dentate	-	-	-	-	throat slightly constricted, 	-	outside densely pilose, pilosulous, inside glabrous	-	densely,glabrous,pilose	-	-	0.5-0.8 cm wide	wide	tube 	-	2-3 cm long	cylindric	cylindric	-	-	-	-	-	-	-	1.2-2 x 2 cm	-	broadly ovate	ovate	-	lobes connate at base, 	-	connate	-	-	-	-	-	-	sharply dentate-serrate	-	dentate,serrate	-	ovary 	-	-	0.4-0.5 x 0.3 cm	-	strigillose	-	strigillose	ovoid	ovoid	-	stigma stomatomorphic. 	-	glabrous	-	glabrous	ca. 2.5 cm long	-	-	stamens 	-	-	-	adnate ca. 0.4 cm to base of corolla tube	-	-	-	-	-	ca. 0.3 cm long	Flowers 	-	-	-	-	hirsutulous	-	-	-	-	2.5-8 cm long	-	-	-	-	-	-	-	-	-	-	-	Epiphytic subshrub, woody climber or liana, 	subshrub	-	-	-	-	-	-	to 3 m	-	-	     	-	apex acute to acuminate, 	acuminate,acute	base 	-	-	above strigose or substrigose, below strigillose, hirsutulous on midvein and veins	-	-	strigose	-	somewhat rounded	rounded	3-10 x 1.5-4.5 cm	-	crenate-serrulate	-	crenate,serrulate	-	oblong-elliptic to oblong-ovate	oblong-elliptic,ovate	papyraceous when dry	papyraceous	densely strigose to subtomentose, densely pilosulous	densely,pilosulous,strigose,tomentose	0.3-3.5 cm long	-	-	-	white	-	white	ca. 1 x 1 cm	globose	globose	-	Stem woody at base, 	-	-	scandent	scandent	glabrescent below, hirsutulous at apex	glabrescent	-	-	-	-	-	-	-	-	
Alloplectus cristatus var.epirotes	Calyx angulate, |, |, |, middle subventricose, |, 	subventricose	-	-	-	-	apex acute to acuminate, 	acuminate,acute	-	-	on both sides strigillose	-	strigillose	-	pale pink to dark red	dark red,pink	base gibbous posteriorly, 	-	0.3-0.5 cm wide	wide	yellow	-	2.5-3.5 cm long	0.9-1.4 cm wide	wide	0.2-0.4 x 0.25-0.4 cm wide	wide	rounded	rounded	minutely dentate	minute	dentate	-	-	-	-	throat slightly constricted, 	-	outside densely pilose, pilosulous, inside glabrous	-	densely,glabrous,pilose	-	-	0.5-0.8 cm wide	wide	tube 	-	2-3 cm long	cylindric	cylindric	-	-	-	-	-	-	-	1.2-2 x 2 cm	-	broadly ovate	ovate	-	lobes connate at base, 	-	connate	-	-	-	-	-	-	sharply dentate-serrate	-	dentate,serrate	-	ovary 	-	-	0.4-0.5 x 0.3 cm	-	strigillose	-	strigillose	ovoid	ovoid	-	stigma stomatomorphic. 	-	glabrous	-	glabrous	ca. 2.5 cm long	-	-	stamens 	-	-	-	adnate ca. 0.4 cm to base of corolla tube	-	-	-	-	-	ca. 0.3 cm long	Flowers 	-	-	-	-	hirsutulous	-	-	-	-	2.5-8 cm long	-	-	-	-	-	-	-	-	-	-	-	Epiphytic subshrub, woody climber or liana, 	subshrub	-	-	-	-	-	-	to 3 m	-	-	     	-	apex acute to acuminate, 	acuminate,acute	base 	-	-	above strigose or substrigose, below strigillose, hirsutulous on midvein and veins	-	-	strigose	-	somewhat rounded	rounded	3-10 x 1.5-4.5 cm	-	crenate-serrulate	-	crenate,serrulate	-	oblong-elliptic to oblong-ovate	oblong-elliptic,ovate	papyraceous when dry	papyraceous	densely strigose to subtomentose, densely pilosulous	densely,pilosulous,strigose,tomentose	0.3-3.5 cm long	-	-	-	white	-	white	ca. 1 x 1 cm	globose	globose	-	Stem woody at base, 	-	-	scandent	scandent	glabrescent below, hirsutulous at apex	glabrescent	in wet montane forests at 	forest	-	-	-	-	700-1650 m	-	
Alloplectus savannarum 	Calyx angulate, |, |, subequal, |, |, middle curved, ampliate, |, 	ampliate,curved	-	-	-	-	apex acute, 	acute	-	-	on both sides hirsute	-	hirsute	-	red	red	base slightly gibbous, 	-	0.5 cm wide	wide	yellow	-	2.0-2.8 cm long	0.3-0.4 cm wide	wide	0.2 x 0.2 cm wide	wide	triangular	triangular	-	-	-	-	-	-	-	throat contracted, 	-	outside glabrous at base, densely 	-	densely,glabrous	-	-	0.5 cm wide	wide	tube 	-	1.8-2.4 cm long	cylindric	cylindric	-	-	-	-	-	-	-	-	-	-	-	-	lobes free, 	-	-	2-3 x 1-1.25(-2) cm	-	-	-	ovate	ovate	dentate-serrate to entire at apex	-	dentate,entire,serrate	-	ovary 	-	-	ca. 0.3 x 0.25 cm	-	densely pilose	-	densely,pilose	ovoid	ovoid	-	stigma 	-	glabrous	-	glabrous	ca. 2 cm long	-	-	stamens adnate to base of corolla tube; 	-	-	-	-	-	-	-	-	-	-	Flowers 	-	-	-	-	hirsute to densely tomentose	-	-	densely,hirsute,tomentose	-	0.9-1.2 cm long	-	-	-	-	-	-	-	-	-	-	-	Epiphytic liana or subshrub, 	subshrub	-	-	-	-	-	-	to 5 m tall	-	-	     	-	apex shortly acuminate, 	acuminate,short	base obliquely cuneate, not decurrent, 	cuneate,decurrent,oblique	-	above pilosulous, below hirsute to pilose	-	-	hirsute,pilosulous	-	-	-	-	7.5-16 x 3-7 cm	serrate	-	serrate	-	obliquely oblong-elliptic to broadly elliptic	oblique	papyraceous when dry	papyraceous	-	-	2-5.5 cm long	-	-	-	white	-	white	ca. 1.2 x 1 cm	subglobose	subglobose	-	Stem woody at base, 	-	-	scandent	scandent	-	-	in disturbed rainforests on mountain slopes, at elevations of 	forest	-	-	-	-	270-1570 m	-	
BESLERIA  	Calyx lobes |, usually connate at base into a short or long tube; 	short	-	-	connate	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yellow, orange, red, or white	orange,red,white	-	-	-	-	-	-	-	-	-	-	-	usually cylindric	cylindric	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	disc annular, entire; 	-	entire	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ovary superior,       	-	superior	-	-	-	-	-	-	-	-	stigma stomatomorphic to 	-	-	-	-	-	-	-	stamens included,       	-	anthers coherent at first, becoming free, dehiscing by longitudinal slits, 	dehiscing	-	thecae parallel to divergent; 	-	divergent,parallel	staminode occasionally developing; 	-	-	Flowers |, but 	-	bracteoles absent; 	-	more usually in few-many	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit a |, indehiscent, 	-	red, orange, or white	orange,red,white	Terrestrial or rarely epiphytic, caulescent, 	epiphytic	-	-	erect, rarely scandent	-	-	scandent	-	-	-	Leaves opposite, rarely ternate, equal to unequal in a pair, venation pinnate, foliar nectaries absent. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Stems rarely branched. 	branched	-	-	-	-	-	growing in rainforests, in wet areas or edges of clearings.	forest	-	-	-	-	-	-	
Besleria flavovirens 	Calyx subcampanulate, |, |, subequal, |, |, middle ventricose, |, 	subcampanulate,ventricose	-	-	-	-	apex 	-	-	-	outside puberulous when young, inside glabrous	-	glabrous,puberulous	-	green or rarely purplish	green,purplish	base not spurred or gibbous, 	-	0.2 cm wide	wide	white	white	0.35-0.6 cm long	0.3-0.4 cm wide	wide	0.1-0.2 x 0.1-0.2 cm	-	orbicular	orbicular	entire	-	entire	-	-	-	-	throat contracted, 	-	outside glabrous, inside with a ring of glandular hairs below attachment of filaments	-	glabrous,glandular,hairs	-	-	0.2 cm wide	wide	tube 	-	0.35-0.4 cm long	cylindric	cylindric	-	-	-	-	-	-	-	0.2-0.3 x 0.2-0.25 cm	-	suborbicular	suborbicular	-	lobes nearly free, 	-	-	-	-	-	-	-	-	entire	-	entire	-	ovary 	-	-	0.7 x 0.7 cm wide	wide	glabrous	-	glabrous	broadly ovoid	ovoid	-	stigma stomatomorphic. 	-	glabrous	-	glabrous	0.3 cm long	-	-	stamens subincluded, inserted at middle of corolla tube; 	-	-	-	-	-	-	-	-	-	ca. 0.1 cm long	Flowers in cymose or congested-paniculate, 	paniculate	-	-	numerous-flowered	puberulous	-	-	puberulous	-	0.3-1 cm long	peduncle 	-	nearly glabrous	-	-	glabrous	(0.5-)1-2.5 cm long	-	-	-	-	Terrestrial herb or subshrub, 	subshrub	-	-	-	-	-	-	0.5-2 m tall	-	-	     	-	apex acuminate, 	acuminate	base cuneate, 	cuneate	-	above glabrous, below appressed pubescent especially on midrib and veins	-	-	appressed pubescent,glabrous	-	-	-	12.5-32 x 5-12 cm	-	serrulate	-	serrulate	-	oblong lanceolate	lanceolate,oblong	papyraceous when dry	papyraceous	nearly glabrous	glabrous	1.4-6 cm long	reddish	reddish	0.4-0.6 x 0.4-0.6 cm	-	-	-	-	-	-	-	Stem woody at base, 	-	-	erect or ascending	ascending	puberulous at apex, glabrescent below	glabrescent,puberulous	along streams in wet forests, at 	forest	-	-	-	-	40-900 m	-	
Besleria insolita 	Calyx |, |, equal, |, |, middle not ventricose, |, 	ventricose	-	-	-	-	apex mucronate-bifid, 	-	-	-	outside hirto-puberulous, inside glabrous	-	glabrous,hirto-puberulous	-	yellow	-	base not spurred, 	-	0.3-0.4 cm wide	wide	cream to pale yellow or white	cream,pale yellow,white	1.6-2 cm long	0.6-1 cm wide	wide	0.3 x 0.2 cm wide	wide	orbicular to ovoid	orbicular,ovoid	entire	-	entire	-	-	-	-	throat slightly constricted, 	-	outside glabrous, inside with a ring of glandular hairs in throat	-	glabrous,glandular,hairs	-	-	0.3-0.4 cm wide	wide	tube 	-	1.2-2 cm long	cylindric	cylindric	-	-	-	-	-	-	-	0.3-0.6 x 0.1-0.2 cm	-	lanceolate	lanceolate	-	lobes connate 	-	connate	-	-	-	-	-	-	entire	-	entire	-	ovary 	-	-	0.5 x 0.4 cm	-	glabrous	-	glabrous	ovoid	ovoid	-	stigma 	-	glabrous	-	glabrous	0.7-0.9 cm long	fusiform-cylindric	cylindric,fusiform	stamens included, inserted on corolla tube at 	-	-	-	0.4-0.5 cm above base	-	-	-	-	-	0.7-1.5 cm long	Flowers fasciculate, in |, epedunculate inflorescences; 	-	-	-	1-6-flowered	hirto-puberulous	-	-	hirto-puberulous	-	(0.5-)1-1.5(-2) cm long	-	-	-	-	-	-	-	-	-	-	-	Terrestrial herb, subshrub or shrub, 	subshrub	-	-	-	-	-	-	0.5-2.5(-3) m tall	-	-	     	-	apex shortly acuminate, 	acuminate,short	base cuneate, 	cuneate	-	above sparsely strigose, below strigillose especially along midrib and veins	-	-	strigose	-	-	-	9.5-30 x 4-13 cm	-	serrate to dentate towards apex	-	dentate,serrate	-	elliptic to oblong	elliptic,oblong	papyraceous when dry	papyraceous	strigillose	strigillose	2.5-11.5 cm long	red or rarely orange	orange,red	0.7-1 x 0.6-0.8 cm	-	-	-	-	-	-	-	Stem sappy, 	-	-	erect	erect	apically strigose, glabrescent below	glabrescent,strigose	locally common along streams in wet forests, at 	forest	-	-	-	-	0-500 m	-	
Besleria laxiflora 	Calyx |, |, equal, |, |, middle slightly ventricose, |, 	ventricose	-	-	-	-	apex mucronate, 	-	-	-	outside glabrescent, inside glabrous	-	glabrescent	-	green to yellow or orange	green,orange	base not spurred or gibbous, 	-	0.3-0.7 cm wide	wide	yellow, orange, salmon red, pink to golden red	gold,orange,pink,red	1.3-2.3 cm long	0.3-0.5 cm wide	wide	ca. 0.2 x 0.1-0.3 cm wide	wide	ovate	ovate	entire	-	entire	-	-	-	-	throat slightly constricted, 	-	outside glabrous, inside with pubescent ring near attachment of filaments and second ring in throat	-	glabrous	-	-	0.4-0.7 cm wide	wide	tube 	-	1.2-2 cm long	cylindric	cylindric	-	-	-	-	-	-	-	0.5-0.7 x 0.2-0.5 cm	-	ovate to narrowly lanceolate	lanceolate,narrow,ovate	-	lobes free or rarely connate 	-	connate	-	-	-	-	-	-	entire to minutely fimbriate or ciliate	minute	entire	ciliate	ovary 	-	-	0.2-0.4 x 0.2-0.3 cm	-	glabrous	-	glabrous	ovoid	ovoid	-	stigma stomatomorphic (in the Guianas). 	-	puberulent	-	puberulent	ca. 0.8 cm long	tubular-campanulate	campanulate,tubular	stamens included, inserted below middle of corolla tube; 	-	-	-	-	-	-	-	-	-	0.6-1.7 cm long	Flowers umbellate to cymose, in 	-	-	-	1- to several-flowered	sparsely strigillose	-	-	strigillose	-	0.8-2.5 cm long	peduncle 	-	sparsely strigillose	-	-	strigillose	1.5-4.5(-6.5) cm long	-	-	-	-	Terrestrial suffrutescent herb or low shrub, 	shrub	-	-	-	-	-	-	0.5-4(-7) m tall	-	-	     	-	apex acuminate, 	acuminate	base cuneate, 	cuneate	-	above sparsely strigillose on midvein to glabrate, below sparsely strigillose on veins	-	-	glabrate,strigillose	-	-	-	3-21 x 1-8.5 cm	-	-	-	-	-	elliptic, narrowly oblong, or rarely ovate	elliptic,narrow,oblong,ovate	membranous when dry	membranous	sparsely strigillose	strigillose	1.5-7 cm long	orange or red	orange,red	0.7-1.2 x 1-1.2 cm	-	-	-	-	-	-	-	Stem sappy, 	-	-	more or less erect	erect	strigose at apex, glabrescent below	glabrescent,strigose	along streams or wet slopes in dense forests, at 	dense forest	-	dense	-	-	100-1000 m	-	
Besleria parviflora 	Calyx campanulate, |, |, equal, |, |, middle not ventricose, |, 	campanulate,ventricose	-	-	-	-	apex acute to acuminate, 	acuminate,acute	-	-	outside strigillose, inside glabrous	-	glabrous,strigillose	-	green	green	base not spurred, 	-	0.15 cm wide	wide	greenish white to yellow	green,white	0.4-0.7 cm long	0.3-0.6 cm wide	wide	0.2-0.25 x 0.2-0.25 cm wide	wide	broadly ovate to suborbicular	ovate,suborbicular	entire	-	entire	-	-	-	-	throat slightly constricted, 	-	outside minutely puberulent, inside lacking a ring of glandular hairs, minutely puberulent at mouth	minute	glandular,hairs,puberulent	-	-	0.2-0.3 cm wide	wide	tube 	-	0.3-0.6 cm long	cylindric	cylindric	-	-	-	-	-	-	-	0.1-0.3 x 0.1-0.2 cm wide	wide	lanceolate to ovate	lanceolate,ovate	-	lobes connate 	-	connate	-	-	-	-	-	-	entire	-	entire	-	ovary 	-	-	ca. 0.2 x 0.12-0.15 cm wide	wide	glabrous	-	glabrous	ovoid	ovoid	-	stigma 	-	glabrous	-	glabrous	0.17-0.2 cm long	-	-	stamens included, 	-	-	-	inserted ca. 0.15 cm above base of corolla tube	-	-	-	-	-	0.2 cm long	Flowers 	-	-	-	2-8-flowered	strigillose	-	-	strigillose	-	0.2-0.7 cm long	peduncle 	-	puberulous	-	-	puberulous	0-0.4 cm long	-	-	-	-	Terrestrial suffrutescent herb or shrub, 	shrub	-	-	-	-	-	-	0.7-4 m tall	-	-	     	-	apex acuminate, 	acuminate	base acute to cuneate, 	acute,cuneate	-	above glabrous to sparsely puberulent, below glabrous to sparsely puberulent	-	-	glabrous,puberulent	-	-	-	8.5-20.5 x 3.2-7.9 cm	-	minutely denticulate to entire	minute	entire	-	elliptic to lanceolate	elliptic,lanceolate	subcoriaceous to papyraceous when dry	papyraceous,subcoriaceous	strigillose to puberulent	puberulent,strigillose	0.7-5.5 cm long	reddish	reddish	0.3-0.5 x 0.3-0.5 cm	-	-	-	-	-	-	-	Stem woody at base, 	-	-	erect	erect	strigillose to pubescent near apex, glabrescent below	glabrescent,strigillose	along streams in wet forests, at 	forest	-	-	-	-	610 m	-	
