-	/fruits	/fruits/shape	/fruits/texture	/fruits/position	/fruits/hairs	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/growth form	/habit	/habit/texture	/habit/hairs	/habit/growth form	/habit/height	/inflorescences	/inflorescences/shape	/inflorescences/position	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/position	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/length	/infructescences	/infructescences/growth form	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/texture	/internodes	/internodes/hairs	/internodes/colour	/leaves	/leaves/blade	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/dimensions	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/shape	/leaves/blade/margins/hairs	/leaves/blade/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/colour	/leaves/petiole	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/hairs	/leaves/petiole/colour	/leaves/petiole/length	/leaves/veins	/leaves/veins/shape	/leaves/veins/texture	/leaves/veins/position	/leaves/veins/hairs	/leaves/veins/colour	/stems	/stems/shape	/stems/texture	/stems/hairs	/stems/growth form	/stems/colour	/stems/length	/habitat	/habitat/growth form	/habitat/colour	/habitat/altitude	
PIPERACEAE  	Fruits small drupes or nuts.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Herbs, shrubs or treelets, sometimes scandent, rarely lianas. 	-	-	scandent	-	Inflorescences |, axillary, or leaf-opposed spikes with minute flowers, solitary or few together, or occasionally spikes arranged in panicles or umbels. 	-	axillary	-	-	-	-	-	-	-	-	-	-	-	-	-	terminal	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves simple, alternate, opposite or in whorls;      	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
PEPEROMIA  	Fruits minute nuts or drupes (“berries”), (sub)basely or laterally attached, sessile or somewhat stipitate when mature, occasionally somewhat sunken in rachis, smooth or sticky, globose, ellipsoid or cylindrical,      	cylindric,globose	smooth	lateral	-	-	apex obliquely scutellate or truncate, with or without a slender beak, 	oblique,truncate	-	-	-	-	-	stigma apical, central or at base of beak.	-	-	-	Small epiphytic, epilithic, or terrestrial, succulent herbs, creeping, prostrate, hanging, ascending or erect. 	-	-	creeping,erect	-	Inflorescences |, solitary or few together, occasionally paniculate; 	paniculate	-	-	floral bracts peltate, mainly rounded, glabrous, often glandular. 	rounded	-	glabrous	-	-	-	-	-	-	-	-	terminal, leaf-opposed or axillary spikes	-	rachis glabrous (but hairy in P. tetraphylla); 	glabrous,hairy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Leaves alternate, opposite or in whorls or 3-7 per node;      	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	pinnately or palmately veined. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Peperomia alata 	Fruits laterally attached, globose-ovoid, reddish brown,      	globose,ovoid	-	lateral	-	brown,reddish	apex oblique with subapical stigma.	oblique	-	-	-	-	-	-	-	-	-	Epiphytic, epilithic or terrestrial, glabrous herb. 	-	glabrous	-	-	Inflorescence |, single or few together, 	-	-	-	floral bracts rounded, glabrous, slightly glandular. 	rounded	-	glabrous	-	erect	erect	peduncle not slender, |, green; 	-	-	green	0.3-1.5 cm long	terminal or axillary	-	-	-	-	spike |, yellow; 	-	-	yellow	6-14 cm long	-	-	-	-	-	internodes winged or ridged below nodes, green or reddish. 	-	green or reddish	Leaves alternate;      	blade |, green above, often reddish brown beneath, |, 	-	-	-	brown,green,reddish	apex acuminate, 	acuminate	-	base acute, glabrous; 	acute	glabrous	-	-	-	4.5-13 x 2-5 cm	-	margin may be ciliate towards apex, 	-	ciliate	elliptic or broadly elliptic or ovate	ovate	fleshy membranous or coriaceous	-	petiole |, deeply grooved or winged; 	-	-	-	-	0.3-3 cm long	3-5(-7)-pli- or palmately veined. 	-	-	-	-	-	Stem ascending, 	-	-	-	-	-	10-40 cm long	-	-	-	from sea level up to 1700 m	
Peperomia angustata 	Fruits basely attached, ovoid to globose, beaked, blackish, often verruculose,      	ovoid to globose	-	-	-	blackish	apex obliquely scutellate, 	oblique	-	-	-	-	-	stigma apical.	-	-	-	Terrestrial, epiphytic or epilithic herb, erect, creeping or ascending, rooting at nodes. 	-	-	creeping,erect	-	Inflorescence single, 	-	-	-	floral bracts rounded to oblong, slightly glandular. 	rounded to oblong	-	-	-	erect	erect	peduncle slender, |, glabrous or minutely pubescent, red; 	-	glabrous,pubescent	red	2-3 cm long	terminal	-	-	-	-	spike |, moderately to densely flowered; 	-	-	red	10-16 cm long	-	-	-	-	-	-	-	-	Leaves in whorls of (2-)3-4(-5), basely attached;      	-	-	-	-	-	apex acute or acuminate, 	acute or acuminate	-	base acutish to cuneate, glabrous; 	cuneate	glabrous	-	-	-	2-6(-9) x 1-3(-4) cm	-	-	-	-	rhombic to elliptic or oblanceolate	ob,rhombic	fleshy to coriaceous	-	petiole |, glabrous; 	-	-	glabrous	-	0.2-1.5 cm long	palmately 3(-5)-veined. 	-	-	-	-	-	Stem glabrous, |, green or reddish. 	-	-	glabrous	-	green or reddish	30-100 cm long	in forests, 	-	-	from sea level up to 2400 m	
Peperomia blanda 	Fruits subbasely attached, globose to ovoid, more or less verruculose, brown,      	globose to ovoid	-	-	-	brown	apex oblique with subapical stigma.	oblique	-	-	-	-	-	-	-	-	-	Terrestrial, epiphytic or epilithic herb, erect or ascending from rooting base. 	-	-	erect	-	Inflorescence |, single or few together; 	-	-	-	floral bracts rounded, glandular. 	rounded	-	-	-	-	-	peduncle |, pubescent or crisp-pubescent; 	-	pubescent	-	0.7-3.2 cm long	terminal or axillary	-	-	-	-	spike |, green, densely to laxly flowered; 	-	-	green,red	2.5-15 cm long	-	-	-	-	-	-	-	-	Leaves opposite or in whorls of 3-7 (sometimes dimorphic), basely attached;      	-	-	-	-	-	apex acute or somewhat acuminate, 	acuminate,acute	-	base acute, pubescent usually on both sides; 	acute	pubescent	-	-	-	2-8 x 0.8-4 cm	-	margin ciliate, 	-	ciliate	elliptic, narrowly elliptic, or obovate, often rhombic	ob,ovate,rhombic	slightly fleshy	-	petiole |, pubescent; 	-	-	pubescent	-	0.2-1(-1.8) cm long	palmately 3(-5)-veined. 	-	-	-	-	-	Stem villous, often fuscous, green or reddish, 	-	-	villous	-	green or reddish	10-20(-60) cm long	-	-	-	above 200 m, up to 1100 m	
Peperomia delascioi 	Fruits stipitate pale brown, smooth, oblong-ellipsoid, |, crowned with a persistent, conic style, 	conic,ob,oblong	smooth	-	-	brown	-	-	-	-	-	1-1.1 x 0.5 mm	-	stigma apical, mammiform.	-	-	-	Terrestrial herb, non-creeping, suberect or ascending |, not rooting at nodes. 	-	-	creeping,erect	up to 9 cm	Inflorescence |, solitary; 	-	-	-	floral bracts rounded, umbonate with pale margin, 	rounded	-	-	-	erect	erect	peduncle |, minutely hirtellous, without bracts; 	-	hirtellous	-	0.3-0.5(-2) cm long	terminal opposite the uppermost leaves	-	rachis glabrous. 	glabrous	-	spike with scattered flowers, 	-	-	red	0.6-3 cm long	-	-	-	-	-	upper internodes 4-10 mm long	-	-	Uppermost leaves opposite, the others alternate;      	blade basely attached or slightly peltate, 	-	-	-	-	apex emarginate with some hairs at notch, 	-	hairs	base rounded or subtruncate, glabrous above, minutely hirtellous at base below; 	rounded,truncate	glabrous,hirtellous	-	-	-	0.5-0.8 x 0.5-1 cm	-	margin not ciliate, 	-	ciliate	oblately suborbicular	ob,suborbicular	fleshy-membranous	-	petiole |, minutely hirtellous; 	-	-	hirtellous	-	0.3-0.8 cm long	palmately 3-5-veined. 	-	-	-	-	-	Stem minutely hirtellous (spreading hairs 	-	-	hairs,hirtellous	spreading	-	0.1 mm long	-	-	-	above 2000 m	
Peperomia emarginella 	Fruits basely attached (according to Steyermark, on a short stipe), ellipsoid, 	-	-	-	-	-	-	-	-	-	-	ca. 1 mm long with apical stigma	-	-	-	-	-	Epiphytic or epilithic, or epiphyllous herb, creeping and rooting at nodes, glabrous or sparsely villous. 	-	glabrous,villous	creeping	-	Inflorescence |, single, 	-	-	-	floral bracts sub-orbicular to oblong. 	orbicular to oblong	-	-	-	erect	erect	peduncle slender, |, pinkish; 	-	-	pinkish	to 1 cm long	terminal	-	-	-	-	spike |, laxly flowered; 	-	-	red	to 1.5 cm long	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade |, bright green, |, 	-	-	-	green	apex emarginate, 	-	-	base rounded or truncate, glabrous or with a few hairs; 	rounded or truncate	glabrous,hairs	-	-	-	-	-	margin somewhat ciliate, 	-	ciliate	orbicular or subreniform	orbicular or subreniform	slightly fleshy	-	petiole |, often red, glabrous or with sparse hairs; 	-	-	glabrous,hairs	red	0.1-0.5 cm long	obsoletely palmately 3-veined. 	ob	-	-	-	-	-	-	-	-	-	-	-	-	-	-	from sea level to 600 m	
Peperomia galioides 	Fruits subbasely attached, globose, brown,      	globose	-	-	-	brown	apex oblique with subapical stigma.	oblique	-	-	-	-	-	-	-	-	-	Terrestrial, epilithic or epiphytic, cespitose herb. 	-	-	-	-	Inflorescence |, often in groups of 2-5; 	-	-	-	floral bracts rounded, glandular. 	rounded	-	-	-	-	-	peduncle not slender, |, minutely pubescent to glabrous, winged, green; 	-	pubescent to glabrous	green	0.2-1.2 cm long	terminal or axillary	-	-	-	-	spike |, pale yellow to green, laxly flowered; 	-	-	red,yellow	up to 15 cm long	-	-	-	-	-	-	-	-	Leaves in whorls of 1-4(-9), basely attached;      	blade |, ciliate towards obtuse apex, 	obtuse	-	ciliate	-	-	-	-	base acutish, glabrous; 	-	glabrous	-	-	-	0.5-3.0 x 0.2-0.6 cm	-	-	-	-	narrowly spathulate, narrowly elliptic or narrowly oblanceolate, larger towards apex of stem	ob,spathulate	fleshy to subcoriaceous	-	petiole |, minutely pubescent; 	-	-	pubescent	-	to 0.3 cm long	venation slightly obvious, palmately 3-veined. 	ob	-	-	-	-	Stem minutely pubescent to glabrous, |, green or green with red spots or reddish. 	-	-	pubescent to glabrous	-	green,red	10-80 cm long	-	-	-	2250-2500 m, 2700 m	
Peperomia glabella 	Fruits laterally attached, globose, reddish brown,      	globose	-	lateral	-	brown,reddish	apex oblique with subapical stigma.	oblique	-	-	-	-	-	-	-	-	-	Epiphytic, stoloniferous herb, strongly glandular dotted, erect, hanging, prostrate or ascending. 	-	-	erect	-	Inflorescence |, single, or several in upper leaf axils, 	-	-	-	floral bracts rounded, glabrous and black-glandular. 	rounded	-	glabrous	black	erect to pendent	erect to pendent	peduncle |, glabrous, black-glandular; 	-	glabrous	black	0.5-1.5 cm long	terminal	-	-	-	-	spike |, moderately densely flowered, flowers distinctly separate; 	-	-	red	to 16 cm long	-	-	-	-	-	-	-	-	Leaves basely attached, alternate;      	blade |, densely black-glandular (when dried), |, 	-	-	-	black	apex acute to acuminate, 	acute to acuminate	-	base acute to acuminate, sometimes subobtuse, glabrous; 	acute to acuminate,ob,obtuse	glabrous	-	-	-	1.5-8(-11) x 0.5-3.5(-5) cm	-	margin ciliate near apex, 	-	ciliate	narrowly ovate or ovate	ovate	fleshy to membranous	-	petiole |, usually ciliate with 2 rows of hairs; 	-	-	ciliate,hairs	-	0.5-1(-2.5) cm long	venation obvious, pli- or palmately 3-5-veined. 	ob	-	-	-	-	Stem |, green or reddish, glabrous, except for lines of hairs decurrent from nodes. 	decurrent	-	glabrous,hairs	-	green or reddish	to 15 cm long	-	-	-	from sea level up to 2400 m	
Peperomia gracieana 	Young fruits flat at apex, green, mature fruits not yet collected.	flat	-	-	-	green	-	-	-	-	-	-	-	-	-	-	-	Epiphytic, terrestrial or epilithic herb, creeping and rooting at nodes. 	-	-	creeping	-	Inflorescence single, 	-	-	-	floral bracts rounded, glabrous. 	rounded	-	glabrous	-	-	-	peduncle slender, |, glabrous, green; 	-	glabrous	green	1.5-1.7 cm long	axillary	-	-	-	-	spike laxly flowered, |, green; 	-	-	green,red	4-6 cm long	-	-	-	-	-	-	-	-	Leaves alternate, distinctly peltate;      	-	-	-	-	-	apex rounded, 	rounded	-	base rounded, pilose with erect trichomes on upper surface; 	rounded	pilose,trichomes	erect	-	-	1-4.5 x 1-3.5 cm	-	-	-	-	broadly elliptic to orbicular	orbicular	fleshy in vivo, membranous almost transparent when dried	transparent	petiole |, glabrous; 	-	-	glabrous	-	1-5(-10) cm long	venation obvious in dried state, veins 6-8 from base. 	ob	-	-	-	-	Stem glabrous, |, whitish green. 	-	-	glabrous	-	green,whitish	40 cm long	in non-flooded moist forest, creeping and forming loose mats along creeks on rocks, on the forest floor, or on fallen logs, 	creeping	-	between 150-500 m	
Peperomia haematolepis 	Fruits ellipsoid or ovoid narrowing into slender beak, with curved tip,      	ovoid	-	-	-	-	-	-	-	-	-	-	-	stigma at base of beak.	-	-	-	Epiphytic, glabrous herb. 	-	glabrous	-	-	Inflorescence |, single, 	-	-	-	floral bracts rounded, glandular. 	rounded	-	-	-	erect	erect	peduncle not slender, |, glabrous or minutely puberulent; 	-	glabrous,puberulent	-	3.5-5 cm long	terminal	-	-	-	-	spike |, reddish; 	-	-	reddish	2-5 cm long	-	-	-	-	-	-	-	-	Leaves alternate;      	-	-	-	-	-	apex rounded or emarginate, 	rounded	-	base cuneate; 	cuneate	-	-	-	-	4.5 x 3-4 cm	-	-	-	-	ellipic to obovate (to broadly ovate in extra-Guianan specimens)	ob,ovate	-	-	petiole not grooved or winged, 	-	-	-	-	0.5-1.5 cm long	pinnately veined veins branching off in lower part of primary vein, may be obsolete when dried. 	ob	-	-	-	-	Stem ascending. 	-	-	-	-	-	-	-	-	-	200-700 m	
Peperomia hernandiifolia 	Fruits basely attached, ellipsoid, reddish brown,      	-	-	-	-	brown,reddish	apex with slender beak and stigma at base of beak.	-	-	-	-	-	-	-	-	-	-	Epiphytic, terrestrial or epilithic herb, creeping. 	-	-	creeping	-	Inflorescence |, solitary; 	-	-	-	floral bracts rounded, glabrous, glandular. 	rounded	-	glabrous	-	-	-	peduncle not slender, |, minutely pubescent, green; 	-	pubescent	green	1.5-5.5 cm long	terminal or axillary	-	-	-	-	spike |, densely flowered; 	-	-	red	3-5 cm long	-	-	-	-	-	-	-	-	Leaves alternate, distinctly peltate;      	-	-	-	-	-	apex acuminate, 	acuminate	-	base rounded, minutely pubescent, glabrescent; 	rounded	glabrescent,pubescent	-	-	-	4.5-8(-12) x 3-5.5(-8) cm	-	margin somewhat ciliate, 	-	ciliate	narrowly ovate, ovate or almost orbicular	orbicular,ovate	coriaceous or subcoriaceous	-	petiole attached |, minutely pubescent, glabrescent; 	-	-	glabrescent,pubescent	-	3-11(-16) cm long	veins 9-11 arising from base. 	-	-	-	-	-	Stem |, retrorsely minutely crisp-pubescent, green and reddish. 	-	-	pubescent	-	green,reddish	-	-	-	-	500-2000 m	
Peperomia lancifolia 	Fruits basely attached, narrowly cylindrical, brown,      	cylindric	-	-	-	brown	apex with short beak and subapical stigma.	-	-	-	-	-	-	-	-	-	-	Terrestrial, epilithic or epiphytic herb, erect or ascending and rooting at decumbent base. 	-	-	erect	-	Inflorescence |, solitary, bifurcate or once-branched; 	-	-	-	floral bracts rounded, glabrous, glandular. 	rounded	-	glabrous	-	-	-	common peduncle green, not slender, 	-	-	green	2-6 cm long	terminal or in upper leaf axils	-	-	-	-	spike densely flowered, erect, |, whitish or yellowish green; 	-	erect	green,red,whitish,whitish or yellowish	4-11 cm long	-	-	-	-	-	-	-	-	Leaves basely attached, alternate;      	blade |, somewhat ciliate towards apex, 	-	-	ciliate	-	apex acuminate, 	acuminate	-	base acute, decurrent into petiole, glabrous; 	acute,decurrent	glabrous	-	-	-	(3.5-)7-17 x (0.7-)1-3 cm	-	-	-	-	narrowly elliptic or narrowly oblanceolate	ob	fleshy and membranous	-	petiole |, glabrous, narrowly winged; 	-	-	glabrous	-	0.5-1 cm long	pinnately 7-11-veined. 	-	-	-	-	-	Stem glabrous, |, green or reddish. 	-	-	glabrous	-	green or reddish	10-34 cm long	-	-	-	700-1600 m	
Peperomia macrostachya 	Fruits basely attached, cylindrical, verruculose, brown,      	cylindric	-	-	-	brown	apex obliquely scutellate with subapical stigma.	oblique	-	-	-	-	-	-	-	-	-	Epiphytic herb, often growing on ants' nests, creeping or hanging and rooting at nodes. 	-	-	creeping	-	Inflorescence |, few together; 	-	-	-	floral bracts rounded, dentate or fimbriate, glandular. 	rounded	dentate	-	-	pendent	pendent	peduncle not slender, |, glabrous or minutely pubescent or papillose, red or brown; 	-	glabrous,pubescent	red or brown	to 1.5(-3) cm long	terminal	-	-	-	-	spike |, yellow to green, densely flowered; 	-	-	red,yellow	to 30 cm long	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade |, more or less ciliate, 	-	-	ciliate	-	apex acute or acuminate, 	acute or acuminate	-	base rounded or cordulate or acutish, glabrous or slightly pubescent, a waxy exudate like small scales or stars is usually present on upper surface; 	rounded	glabrous,pubescent	-	-	-	4-11 x 1.5-6 cm	-	-	-	-	narrowly elliptic to ovate	ovate	fleshy-coriaceous or subcoriaceous	-	petiole |, glabrous, ciliate or puberulent, reddish; 	-	-	ciliate or puberulent	reddish	0.5-2 cm long	venation obsolete, 7-9-pli-veined. 	ob	-	-	-	-	Stem glabrous, |, green or green with red nodes. 	-	-	glabrous	-	green,red	to 100 cm long	in wet forest, 	-	-	from sea level to 1800 m	
Peperomia magnoliifolia 	Fruits basely attached, subglobose, verruculose, reddish brown or blackish, gradually tapering into beak, which is slightly hooked at the very tip,      	subglobose	-	-	-	brown or blackish,reddish	-	-	-	-	-	-	-	stigma at base of beak.	-	-	-	Epiphytic, epilithic or terrestrial herb. 	-	-	-	-	Inflorescence |, solitary or usually 2(-few) together; 	-	-	-	floral bracts rounded, |, glabrous, glandular. 	rounded	-	glabrous	-	erect	erect	peduncle slender (when dried) or not slender, |, glabrous, green or pinkish; 	-	glabrous	green or pinkish	1-8 cm long	terminal	-	-	-	-	spike |, green, white or yellow, densely flowered; 	-	-	green,red,white,white or yellow	to 18 cm long	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade |, often red-dotted, |, 	-	-	-	red	apex rounded, obtuse occasionally slightly emarginate to acutish, 	obtuse,rounded	-	base cuneately decurrent into petiole, sometimes abruptly contracted, glabrous; 	cuneate,decurrent	glabrous	-	-	-	4.5-14 x 2.5-6 cm	-	-	-	-	obovate or elliptic, sometimes even broadly elliptic	ob,ovate	fleshy	-	petiole |, more or less laterally winged or grooved, glabrous; 	-	lateral	glabrous	-	1-7 cm long	venation obvious, ca. 7-pli-veined, or a few veins branching off primary vein or obsolete when dried. 	ob	-	-	-	-	Stem erect, creeping or ascending, rooting at nodes, |, glabrous, green or green with red spots. 	-	-	glabrous	creeping,erect	green,red	10-50 cm long	-	-	-	from sea level to over 1200 m	
Peperomia maguirei 	Fruits not sunken, subbasely attached, globose, green,      	globose	-	-	-	green	apex with short, thick style and apical stigma.	-	thick	-	-	-	-	-	-	-	-	Epiphytic or epilithic herb, erect or ascending from prostrate, rooting base. 	-	-	erect	-	Inflorescence solitary, 	-	-	-	floral bracts rounded, with scariose margin, glabrous, glandular. 	rounded	-	glabrous	-	erect	erect	peduncle |, villous, green or reddish brown; 	-	villous	brown,green,green or reddish	1-2 cm long	terminal	-	rachis hardly ridged; 	-	-	spike |, green, densely flowered, 	-	-	green,red	2-7 cm long	-	-	-	-	-	-	-	-	Leaves in whorls of 1-4, basely attached;      	blade |, sometimes pink below, |, 	-	-	-	pink	apex rounded to emarginate, 	rounded	-	base acute, glabrous or loosely villous on upper surface, glabrescent, glabrous below; 	acute	glabrous,villous	-	-	-	1-3.5 x 0.6-2.3 cm	-	margin not ciliate, 	-	ciliate	obovate or somewhat elliptic	ob,ovate	fleshy coriaceous	-	petiole |, loosely villous; 	-	-	villous	-	0.2-0.6 cm long	veins 3, obvious. 	ob	-	-	-	-	Stem loosely villous, |, green or reddish brown. 	-	-	villous	-	brown,green,green or reddish	10 cm long when fruiting	-	-	-	up to 700 m	
Peperomia obtusifolia 	Fruits basely attached, ellipsoid, verruculose, reddish brown or blackish,      	-	-	-	-	brown or blackish,reddish	apex abruptly contracted into slender beak, which is curved or curled at tip, 	-	-	-	-	-	-	stigma at base of beak.	-	-	-	Epiphytic, epilithic or terrestrial herb. 	-	-	-	-	Inflorescence |, solitary or few together; 	-	-	-	floral bracts rounded, |, glabrous, glandular. 	rounded	-	glabrous	-	-	-	both the common peduncle and those of individual spikes bracteate, green or pinkish, slender (when dried) or not slender, together |, usually minutely pubescent; 	-	pubescent	green or pinkish	1-14 cm long	terminal	-	-	-	-	spikes |, greenish white to yellow, densely flowered; 	-	-	greenish,red,white,white to yellow	to 18 cm long	-	-	-	-	-	-	-	-	Leaves alternate, basely attached;      	blade shiny green, pale green below, |, often with red spots, |, 	-	-	-	green,red	apex rounded, obtuse or emarginate, 	obtuse,rounded	-	base cuneate, glabrous; 	cuneate	glabrous	-	-	-	4-14.5 x 2.5-6.5 cm	-	-	-	-	elliptic, obovate or subspathulate	ob,ovate,ovate or subspathulate	coriaceous	-	petiole green or green with red spots, |, more or less grooved, minutely pubescent; 	-	-	pubescent	green,red	1-6.5 cm long	venation obvious or hardly visible, ca, 7-pli-veined, or few veins branching off primary vein. 	ob	-	-	-	-	Stem erect, creeping or ascending, rooting at nodes, glabrous, green or green with red spots. 	-	-	glabrous	creeping,erect	green,red	-	-	-	-	from sea level to over 1200 m	
