-	/flowers*	/flowers*/shape	/flowers*/position	/flowers*/margin type	/flowers*/hairs	/flowers*/growth form	/flowers*/colour	/flowers/calyx lobes/length*	/flowers/disk/hairs*	/flowers/disk/hairs*/hairs	/flowers/length*	/flowers/lower hypanthium/hairs*	/flowers/lower hypanthium/hairs*/hairs	/flowers/lower hypanthium/hairs*/colour	/flowers/lower hypanthium/length*	/flowers/ovary*	/flowers/ovary*/shape	/flowers/ovary*/position	/flowers/ovary*/hairs	/flowers/ovary/hairs*	/flowers/ovary/hairs*/shape	/flowers/ovary/hairs*/texture	/flowers/ovary/hairs*/hairs	/flowers/ovary/style*	/flowers/ovary/style*/shape	/flowers/ovary/style*/texture	/flowers/ovary/style*/hairs	/flowers/ovary/style*/growth form	/flowers/petals/apex/shape*	/flowers/petals/apex/shape*/shape	/flowers/petals/apex/shape*/growth form	/flowers/petals/dimensions*	/flowers/petals/shape*	/flowers/petals/shape*/shape	/flowers/sepals/dimensions*	/flowers/stamens/anthers*	/flowers/stamens/anthers*/shape	/flowers/stamens/anthers/length*	/flowers/stamens/filaments*	/flowers/stamens/filaments*/shape	/flowers/stamens/filaments*/growth form	/flowers/stamens/filaments/length*	/flowers/stamens/stamen number*	/flowers/style/hairs*	/flowers/style/hairs*/hairs	/flowers/style/length*	/flowers/upper hypanthium/dimensions*	/flowers/upper hypanthium/hairs*	/flowers/upper hypanthium/hairs*/hairs	/flowers/upper hypanthium/length*	/flowers/upper hypanthium/length*/shape	/flowers/upper hypanthium/length*/growth form	/flowers/upper hypanthium/shape*	/flowers/upper hypanthium/shape*/shape	/flowers/upper hypanthium/shape*/hairs	/flowers/width*	/flowers/width*/shape	/fruits*	/fruits*/shape	/fruits*/texture	/fruits*/position	/fruits*/hairs	/fruits*/growth form	/fruits*/colour	/fruits/apex/shape*	/fruits/apex/shape*/shape	/fruits/base/shape*	/fruits/base/shape*/shape	/fruits/dimensions*	/fruits/hairs*	/fruits/hairs*/shape	/fruits/hairs*/texture	/fruits/hairs*/hairs	/fruits/hairs*/colour	/fruits/rib number*	/fruits/shape*	/fruits/shape*/shape	/fruits/shape*/position	/fruits/shape*/growth form	/habit*	/habit*/environment	/habit*/shape	/habit*/hairs	/habit*/growth form	/habit*/colour	/habit/hairs*	/habit/hairs*/shape	/habit/hairs*/hairs	/habit/height*	/habit/height*/shape	/habit/juvenile branches/hairs*	/habit/juvenile branches/hairs*/shape	/habit/juvenile branches/hairs*/position	/habit/juvenile branches/hairs*/hairs	/inflorescences*	/inflorescences*/shape	/inflorescences*/texture	/inflorescences*/position	/inflorescences*/hairs	/inflorescences*/growth form	/inflorescences*/colour	/inflorescences/bracts*	/inflorescences/bracts*/shape	/inflorescences/bracts*/texture	/inflorescences/bracts*/hairs	/inflorescences/bracts*/growth form	/inflorescences/bracts/dimensions*	/inflorescences/bracts/dimensions*/shape	/inflorescences/bracts/shape*	/inflorescences/bracts/shape*/shape	/inflorescences/bracts/shape*/texture	/inflorescences/bracts/shape*/margin type	/inflorescences/bracts/shape*/hairs	/inflorescences/dimensions*	/inflorescences/flowers*	/inflorescences/flowers*/shape	/inflorescences/flowers*/position	/inflorescences/flowers*/hairs	/inflorescences/length*	/inflorescences/pedicels/dimensions*	/inflorescences/pedicels/growth form*	/inflorescences/pedicels/growth form*/shape	/inflorescences/pedicels/growth form*/growth form	/inflorescences/pedicels/growth form*/growth form/shape	/inflorescences/pedicels/length*	/inflorescences/peduncle*	/inflorescences/peduncle*/shape	/inflorescences/peduncle*/hairs	/inflorescences/peduncle*/colour	/inflorescences/peduncle/dimensions*	/inflorescences/peduncle/hairs*	/inflorescences/peduncle/hairs*/texture	/inflorescences/peduncle/hairs*/hairs	/inflorescences/peduncle/hairs*/colour	/inflorescences/peduncle/length*	/inflorescences/position*	/inflorescences/position*/position	/inflorescences/rachises/hairs*	/inflorescences/rachises/hairs*/hairs	/inflorescences/rachises/length*	/inflorescences/whorl number*	/leaves*	/leaves*/shape	/leaves*/texture	/leaves*/position	/leaves*/margin type	/leaves*/hairs	/leaves*/growth form	/leaves*/growth form/shape	/leaves/apex/shape*	/leaves/apex/shape*/shape	/leaves/areolation*	/leaves/areolation*/shape	/leaves/areolation*/growth form	/leaves/base/hairs*	/leaves/base/hairs*/hairs	/leaves/base/hairs*/growth form	/leaves/base/shape*	/leaves/base/shape*/shape	/leaves/blade/dimensions*	/leaves/blade/shape*	/leaves/blade/shape*/shape	/leaves/dimensions*	/leaves/domatia*	/leaves/higher order veins*	/leaves/petiole*	/leaves/petiole*/shape	/leaves/petiole*/texture	/leaves/petiole/dimensions*	/leaves/petiole/hairs*	/leaves/petiole/hairs*/shape	/leaves/petiole/hairs*/hairs	/leaves/petiole/hairs*/colour	/leaves/petiole/length*	/leaves/shape*	/leaves/shape*/shape	/leaves/texture*	/leaves/texture*/texture	/leaves/texture*/growth form	/leaves/veins*	/leaves/veins*/position	/leaves/veins*/growth form	/leaves/veins/intersecondary veins*	/leaves/veins/midveins*	/leaves/veins/midveins*/shape	/leaves/veins/midveins*/growth form	/leaves/veins/secondary veins/secondary vein pair number*	/leaves/veins/tertiary veins*	/leaves/veins/tertiary veins*/shape	/leaves/veins/tertiary veins*/growth form	/petiole*	/petiole*/shape	/petiole*/texture	/petiole*/position	/petiole*/hairs	/petiole/blade/dimensions*	/petiole/blade/shape*	/petiole/blade/shape*/shape	/petiole/hairs*	/petiole/hairs*/shape	/petiole/hairs*/hairs	/petiole/length*	/stipules*	/stipules*/shape	/habitat*	/habitat*/environment	/habitat*/shape	/habitat*/hairs	/habitat*/colour	/habitat/altitude*	/habitat/altitude*/environment	
CYRILLACEAE  	Flowers bisexual, actinomorphic or slightly zygomorphic, |, pedicellate; |, usually with inrolled margins; |, usually opposite petals, in |, opening by apical pores or longitudinal slits, versatile; |, |, anatropous. 	anatropous	-	-	-	-	-	-	-	-	-	-	-	-	-	ovary superior, 	-	superior	-	-	-	-	-	style usually short, 	short	-	-	-	-	-	-	-	-	-	-	anthers 	-	-	filaments free, 	-	-	-	5 or 10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Shrubs or small trees (	-	small	-	-	-	-	-	-	up to 25 m tall	-	-	-	-	-	Inflorescences 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	terminal, sometimes axillary	axillary,terminal	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	usually petiolate (rarely sub-sessile); 	sessile	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CYRILLA  	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ovary 	-	-	-	glabrous	-	-	glabrous	style 	-	-	-	-	acute, obtuse or rounded	acute,obtuse,rounded	-	2(-2.4) x up to 1.1 mm	oblong to oblong-lanceolate or oblong-elliptic	elliptic,lanceolate,oblong	0.6-1.5(-1.6) x up to 0.7(-1) mm	anthers terete, 	terete	-	filaments flattened, 	flattened	-	1.1-1.4 mm long	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit dry, indehiscent, |, 	-	-	-	-	-	-	-	-	-	-	2.5-(3) x up to (0.9-)2(-3) mm	usually smooth (rarely slightly rugulose), glabrous	-	rugulose,smooth	glabrous	-	-	subglobose to globose or conic-ellipsoid	conic,ellipsoid,subglobose	-	-	Shrub or small tree, 	-	small	-	-	-	-	-	-	up to 7-15 m tall	-	-	-	-	-	Inflorescence racemose, |, usually somewhat ridged; |, acuminate to very acute, basally thickened and usually costate|, persistent; |, usually above middle of pedicel, alternate or opposite, |, persistent; 	acuminate,acute	thick	-	-	-	-	bract 	-	-	-	-	-	-	lanceolate-subulate, 	lanceolate,subulate	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.1-2 mm long  (up to 4 mm when fruiting)	peduncle 	-	-	-	-	-	-	-	-	0.4-1.7 cm long (before the first bract)	axillary, usually near end of branches	axillary	-	-	up to 14 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	-	-	-	-	-	-	-	
Cyrilla racemiflora 	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ovary 	-	-	-	glabrous	-	-	glabrous	style 	-	-	-	-	acute, obtuse or rounded	acute,obtuse,rounded	-	2(-2.4) x up to 1.1 mm	oblong to oblong-lanceolate or oblong-elliptic	elliptic,lanceolate,oblong	0.6-1.5(-1.6) x up to 0.7(-1) mm	anthers terete, 	terete	-	filaments flattened, 	flattened	-	1.1-1.4 mm long	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit dry, indehiscent, |, usually smooth (rarely slightly rugulose), |, 	-	rugulose,smooth	-	-	-	-	-	-	-	-	2.5-(3) x up to (0.9-)2(-3) mm	glabrous	-	-	glabrous	-	-	subglobose to globose or conic-ellipsoid	conic,ellipsoid,subglobose	-	-	Shrub or small tree, 	-	small	-	-	-	-	-	-	up to 7-15 m tall	-	-	-	-	-	Inflorescence racemose, |, usually somewhat ridged; |, acuminate to very acute, basally thickened and usually costate|, persistent; |, usually above middle of pedicel, alternate or opposite, |, persistent; 	acuminate,acute	thick	-	-	-	-	bract 	-	-	-	-	-	-	lanceolate-subulate, 	lanceolate,subulate	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.1-2 mm long (up to 4 mm when fruiting)	peduncle 	-	-	-	-	-	-	-	-	0.4-1.7 cm long (before the first bract)	axillary, usually near end of branches	axillary	-	-	up to 14 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	     	-	in several different habitats including savannas, gallery forest, swampy vegetation and cloud forest, usually on white sands or along river banks, elev. 	forest,swamp	-	-	white	25 to 2300 m	-	
PURDIAEA  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit indehiscent, |, dry, enclosed in persistent sepals, seeds 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3-5-ribbed	-	-	-	-	Evergreen trees or shrubs. 	shrub	-	-	-	green	-	-	-	-	-	-	-	-	-	Inflorescence generally |, racemose, |, in |, 	-	-	-	-	-	-	bracts scarious	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	terminal	terminal	-	-	-	-	Leaves usually crowded at branch tips, generally sessile. 	sessile	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Purdiaea nutans 	Flowers regular, or because of unequal size of the corolla lobes, slightly zygomorphic, |, aestivation imbricate; |, undivided, |, capitate or sometimes discoid, entire or vaguely lobed. 	capitate	-	entire	-	regular	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	anthers basifixed, dithecal, extrorsely dehiscent with longitudinal slits, 	-	-	filaments flattened, fused to lower part of corolla, free to base, or (often in 	flattened	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruits berries with dry and sometimes woody pericarp, indehiscent, |, 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	subglobose, oblongoid, or ovoid	oblongoid,ovoid,subglobose	-	-	Shrubs or small trees, usually evergreen. 	-	small	-	-	green	-	-	-	-	-	-	-	-	-	Inflorescences |, racemose, rarely reduced to a single flower, each flower subtended by a small bract. 	small	-	-	-	single	red	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	terminal or lateral	lateral,terminal	-	-	-	-	Leaves alternate, often pseudoverticillate, exstipulate, petiolate, simple, glandular-punctate, mostly with bundles or layers of subepidermal, extraxylary sclerenchyma. 	-	-	-	-	glandular	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
THEOPHRASTACEAE  	Flowers |, |, crateriform, not glandular-punctate, |, inserted at mouth of corolla tube; |, 	-	-	-	glandular	-	-	-	-	-	-	-	-	-	-	ovary 	-	-	-	-	-	-	-	style shorter than to as long as ovary, 	short	-	-	-	-	-	-	-	-	-	-	anthers 	-	-	filaments 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruits |, 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	subglobose	subglobose	-	-	Shrubs or small trees, unbranched or sparsely branched, evergreen. 	-	small,unbranched	-	-	green	-	-	-	-	-	-	-	-	-	Inflorescences |, those of female plants usually shorter than those of male plants; |, inserted at junction of pedicel and rachis, rarely ascending on pedicels. 	short	-	-	-	ascending	-	bracts 	-	-	-	-	-	-	lanceolate-ovate	lanceolate,ovate	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	lateral	lateral	-	-	-	-	     	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	short- to long-petiolate; 	short	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CLAVIJA  	Flowers |, 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit |, 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Shrub or small tree 	-	small	-	-	-	-	-	-	to 4 m high	-	-	-	-	-	Inflorescence in |, in 	-	-	-	-	-	-	bracts 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.5-4 mm long	-	-	-	-	-	-	-	-	-	-	-	-	glabrous or sparsely glandular-puberulous	glabrous,glandular,puberulous	0.8-2 mm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Petiole |, 	-	-	-	-	23-76 x 4.5-17 cm	oblanceolate	oblanceolate	glabrous or sparsely puberulous at base	-	glabrous,puberulous	1-6.5 cm long	-	-	primary forest, 	forest	-	-	-	from sea level to 350 m	-	
Clavija imatacae 	Flowers |, |, in |, in 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Fruit |, 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Shrub 	-	-	-	-	-	-	-	-	to 3 m, sometimes higher	-	-	-	-	-	Inflorescence in |, in 	-	-	-	-	-	-	bracts 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1-3 mm long	-	-	-	-	-	-	-	-	-	-	-	-	puberulous or sparsely puberulous	puberulous	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Petiole |, 	-	-	-	-	12-60 x 3.5-14 cm	oblanceolate, narrowly oblanceolate, or sometimes narrowly ovate, obovate or elliptic	elliptic,narrow,oblanceolate,ovate	puberulous at base, or glabrous	-	glabrous,puberulous	1-8 cm long	-	-	-	-	-	-	-	-	-	
Clavija lancifolia 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Petiole |, |, surface between veinlets striate on both sides but sometimes sparsely so beneath.	striate	-	-	-	17-40(-60) x 4.5-8.5(-14) cm	oblanceolate or narrowly oblanceolate	narrow,oblanceolate	glabrous	-	glabrous	1-5.5 cm long	-	-	primary forest, 	forest	-	-	-	from sea level to 350 m	-	
Clavija lancifolia subsp.lancifolia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Petiole |, |, surface between veinlets striate, furrowed or sometimes smooth above, striate below.	striate	smooth	-	-	14-45(-53) x 3.5-12(-14) cm	oblanceolate, sometimes narrowly obovate or elliptic	elliptic,narrow,oblanceolate,obovate	puberulous at base	-	puberulous	1.5-8 cm long	-	-	primary forest, 	forest	-	-	-	from sea level to 750 m	-	
