-	/fruits	/fruits/shape	/fruits/shape	/fruits/texture	/fruits/texture	/fruits/position	/fruits/position	/fruits/hairs	/fruits/hairs	/fruits/colour	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/position	/fruits/apex/hairs	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/length	/fruits/dimensions (merged)/length/minimum	/fruits/dimensions (merged)/length/maximum	/fruits/dimensions (merged)/width	/fruits/dimensions (merged)/width/minimum	/fruits/dimensions (merged)/width/maximum	/fruits/dimensions (merged)/texture	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/minimum	/fruits/stigma/maximum	/fruits/stigma/shape	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/hairs	/fruits/stigma/growth form	/fruits/stigma/growth form	/habit	/habit/minimum	/habit/maximum	/habit/texture	/habit/texture	/habit/hairs	/habit/hairs	/habit/growth form	/habit/growth form	/habit/height	/habit/height/minimum	/habit/height/maximum	/inflorescences	/inflorescences/minimum	/inflorescences/maximum	/inflorescences/shape	/inflorescences/shape	/inflorescences/position	/inflorescences/position	/inflorescences/colour	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/minimum	/inflorescences/peduncle/maximum	/inflorescences/peduncle/shape	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/peduncle/length/minimum	/inflorescences/peduncle/length/maximum	/inflorescences/position	/inflorescences/position/colour	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/colour	/inflorescences/spikes/length	/inflorescences/spikes/length/minimum	/inflorescences/spikes/length/maximum	/infructescences	/infructescences/growth form	/infructescences/growth form	/infructescences/colour	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/length	/infructescences/dimensions (merged)/width	/infructescences/dimensions (merged)/minimum	/infructescences/dimensions (merged)/maximum	/infructescences/dimensions (merged)/texture	/infructescences/dimensions (merged)/texture	/internodes	/internodes/minimum	/internodes/maximum	/internodes/hairs	/internodes/hairs	/internodes/colour	/internodes/colour	/leaves	/leaves/minimum	/leaves/maximum	/leaves/blade	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/base/differential distance/minimum	/leaves/blade/base/differential distance/maximum	/leaves/blade/dimensions	/leaves/blade/dimensions/length	/leaves/blade/dimensions/length/minimum	/leaves/blade/dimensions/length/maximum	/leaves/blade/dimensions/width	/leaves/blade/dimensions/width/minimum	/leaves/blade/dimensions/width/maximum	/leaves/blade/dimensions/minimum	/leaves/blade/dimensions/maximum	/leaves/blade/dimensions/growth form	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/minimum	/leaves/blade/margins/maximum	/leaves/blade/margins/shape	/leaves/blade/margins/shape	/leaves/blade/margins/hairs	/leaves/blade/margins/hairs	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/shape/minimum	/leaves/blade/shape/maximum	/leaves/blade/shape/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/colour	/leaves/blade/texture/colour	/leaves/petiole	/leaves/petiole/minimum	/leaves/petiole/maximum	/leaves/petiole/texture	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/position	/leaves/petiole/hairs	/leaves/petiole/hairs	/leaves/petiole/colour	/leaves/petiole/colour	/leaves/petiole/length	/leaves/petiole/length/minimum	/leaves/petiole/length/maximum	/leaves/veins	/leaves/veins/minimum	/leaves/veins/maximum	/leaves/veins/shape	/leaves/veins/shape	/leaves/veins/texture	/leaves/veins/texture	/leaves/veins/position	/leaves/veins/position	/leaves/veins/hairs	/leaves/veins/hairs	/leaves/veins/colour	/leaves/veins/colour	/stems	/stems/shape	/stems/shape	/stems/texture	/stems/texture	/stems/hairs	/stems/hairs	/stems/growth form	/stems/growth form	/stems/colour	/stems/colour	/stems/length	/stems/length/minimum	/stems/length/maximum	/habitat	/habitat/growth form	/habitat/growth form	/habitat/colour	/habitat/colour	/habitat/altitude	/habitat/altitude/minimum	/habitat/altitude/maximum
Peperomia haematolepis 	Fruits ellipsoid or ovoid narrowing into slender beak, with curved tip,      	5290	ovoid	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigma at base of beak.	-	-	0	-	0	-	0	-	Epiphytic, glabrous herb. 	-	-	0	-	71	glabrous	0	-	-	-	-	Inflorescence |, single, 	-	-	0	-	0	-	0	-	floral bracts rounded, glandular. 	6274	rounded	0	-	0	-	0	-	43	erect	43	erect	peduncle not slender, |, glabrous or minutely puberulent; 	-	-	0	-	71	glabrous,puberulent	0	-	3.5-5 cm long	3.5	5	terminal	0	-	-	0	-	0	-	spike |, reddish; 	0	-	0	-	1705	reddish	2-5 cm long	2	5	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate;      	-	-	-	0	-	0	-	0	-	0	-	apex rounded or emarginate, 	6274	rounded	0	-	base cuneate; 	2338	cuneate	0	-	0	-	0	-	-	-	-	4.5 x 3-4 cm	4.5	-	-	3	-	-	3	4	0	-	-	-	-	0	-	0	-	0	ellipic to obovate (to broadly ovate in extra-Guianan specimens)	-	-	4306	ob,ovate	-	0	-	petiole not grooved or winged, 	-	-	0	-	0	-	0	-	0	-	0.5-1.5 cm long	0.5	1.5	pinnately veined veins branching off in lower part of primary vein, may be obsolete when dried. 	-	-	4306	ob	0	-	0	-	0	-	0	-	Stem ascending. 	0	-	0	-	0	-	0	-	0	-	-	-	-	-	0	-	0	-	200-700 m	200	700
Peperomia hernandiifolia 	Fruits basely attached, ellipsoid, reddish brown,      	0	-	0	-	0	-	0	-	285	brown,reddish	apex with slender beak and stigma at base of beak.	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epiphytic, terrestrial or epilithic herb, creeping. 	-	-	0	-	0	-	22	creeping	-	-	-	Inflorescence |, solitary; 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous, glandular. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	peduncle not slender, |, minutely pubescent, green; 	-	-	0	-	386	pubescent	782	green	1.5-5.5 cm long	1.5	5.5	terminal or axillary	0	-	-	0	-	0	-	spike |, densely flowered; 	0	-	0	-	1705	red	3-5 cm long	3	5	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate, distinctly peltate;      	-	-	-	0	-	0	-	0	-	0	-	apex acuminate, 	124	acuminate	0	-	base rounded, minutely pubescent, glabrescent; 	6274	rounded	71	glabrescent,pubescent	0	-	0	-	-	-	-	4.5-8(-12) x 3-5.5(-8) cm	-	-	-	-	-	-	4.5	8	0	-	margin somewhat ciliate, 	-	-	0	-	1	ciliate	0	narrowly ovate, ovate or almost orbicular	-	-	5044	orbicular,ovate	coriaceous or subcoriaceous	0	-	petiole attached |, minutely pubescent, glabrescent; 	-	-	0	-	0	-	71	glabrescent,pubescent	0	-	3-11(-16) cm long	3	11	veins 9-11 arising from base. 	9	11	0	-	0	-	0	-	0	-	0	-	Stem |, retrorsely minutely crisp-pubescent, green and reddish. 	0	-	0	-	386	pubescent	0	-	782	green,reddish	-	-	-	-	0	-	0	-	500-2000 m	500	2000
Peperomia lancifolia 	Fruits basely attached, narrowly cylindrical, brown,      	2461	cylindric	0	-	0	-	0	-	285	brown	apex with short beak and subapical stigma.	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Terrestrial, epilithic or epiphytic herb, erect or ascending and rooting at decumbent base. 	-	-	0	-	0	-	43	erect	-	-	-	Inflorescence |, solitary, bifurcate or once-branched; 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous, glandular. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	common peduncle green, not slender, 	-	-	0	-	0	-	782	green	2-6 cm long	2	6	terminal or in upper leaf axils	0	-	-	0	-	0	-	spike densely flowered, erect, |, whitish or yellowish green; 	0	-	43	erect	782	green,red,whitish,whitish or yellowish	4-11 cm long	4	11	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves basely attached, alternate;      	-	-	blade |, somewhat ciliate towards apex, 	0	-	0	-	1	ciliate	0	-	apex acuminate, 	124	acuminate	0	-	base acute, decurrent into petiole, glabrous; 	247	acute,decurrent	71	glabrous	0	-	0	-	-	-	-	(3.5-)7-17 x (0.7-)1-3 cm	-	-	-	-	-	-	7	17	0	-	-	-	-	0	-	0	-	0	narrowly elliptic or narrowly oblanceolate	-	-	4306	ob	fleshy and membranous	0	-	petiole |, glabrous, narrowly winged; 	-	-	0	-	0	-	71	glabrous	0	-	0.5-1 cm long	0.5	1	pinnately 7-11-veined. 	7	11	0	-	0	-	0	-	0	-	0	-	Stem glabrous, |, green or reddish. 	0	-	0	-	71	glabrous	0	-	830	green or reddish	10-34 cm long	10	34	-	0	-	0	-	700-1600 m	700	1600
Peperomia macrostachya 	Fruits basely attached, cylindrical, verruculose, brown,      	2461	cylindric	0	-	0	-	0	-	285	brown	apex obliquely scutellate with subapical stigma.	4675	oblique	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epiphytic herb, often growing on ants' nests, creeping or hanging and rooting at nodes. 	-	-	0	-	0	-	22	creeping	-	-	-	Inflorescence |, few together; 	-	-	0	-	0	-	0	-	floral bracts rounded, dentate or fimbriate, glandular. 	6274	rounded	43	dentate	0	-	0	-	106	pendent	106	pendent	peduncle not slender, |, glabrous or minutely pubescent or papillose, red or brown; 	-	-	0	-	71	glabrous,pubescent	1715	red or brown	to 1.5(-3) cm long	-	1.5	terminal	0	-	-	0	-	0	-	spike |, yellow to green, densely flowered; 	0	-	0	-	1705	red,yellow	to 30 cm long	-	30	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate, basely attached;      	-	-	blade |, more or less ciliate, 	0	-	0	-	1	ciliate	0	-	apex acute or acuminate, 	251	acute or acuminate	0	-	base rounded or cordulate or acutish, glabrous or slightly pubescent, a waxy exudate like small scales or stars is usually present on upper surface; 	6274	rounded	71	glabrous,pubescent	0	-	0	-	-	-	-	4-11 x 1.5-6 cm	11	-	-	1.5	-	-	4	11	0	-	-	-	-	0	-	0	-	0	narrowly elliptic to ovate	-	-	5167	ovate	fleshy-coriaceous or subcoriaceous	0	-	petiole |, glabrous, ciliate or puberulent, reddish; 	-	-	0	-	0	-	21	ciliate or puberulent	1705	reddish	0.5-2 cm long	0.5	2	venation obsolete, 7-9-pli-veined. 	7	9	4306	ob	0	-	0	-	0	-	0	-	Stem glabrous, |, green or green with red nodes. 	0	-	0	-	71	glabrous	0	-	782	green,red	to 100 cm long	-	100	in wet forest, 	0	-	0	-	from 0 to 1800 m	0	1800
Peperomia magnoliifolia 	Fruits basely attached, subglobose, verruculose, reddish brown or blackish, gradually tapering into beak, which is slightly hooked at the very tip,      	3814	subglobose	0	-	0	-	0	-	291	brown or blackish,reddish	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigma at base of beak.	-	-	0	-	0	-	0	-	Epiphytic, epilithic or terrestrial herb. 	-	-	0	-	0	-	0	-	-	-	-	Inflorescence |, solitary or usually 2(-few) together; 	-	-	0	-	0	-	0	-	floral bracts rounded, |, glabrous, glandular. 	6274	rounded	0	-	71	glabrous	0	-	43	erect	43	erect	peduncle slender (when dried) or not slender, |, glabrous, green or pinkish; 	-	-	0	-	71	glabrous	826	green or pinkish	1-8 cm long	1	8	terminal	0	-	-	0	-	0	-	spike |, green, white or yellow, densely flowered; 	0	-	0	-	782	green,red,white,white or yellow	to 18 cm long	-	18	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate, basely attached;      	-	-	blade |, often red-dotted, |, 	0	-	0	-	0	-	1705	red	apex rounded, obtuse occasionally slightly emarginate to acutish, 	4921	obtuse,rounded	0	-	base cuneately decurrent into petiole, sometimes abruptly contracted, glabrous; 	2338	cuneate,decurrent	71	glabrous	0	-	0	-	-	-	-	4.5-14 x 2.5-6 cm	14	-	-	2.5	-	-	4.5	14	0	-	-	-	-	0	-	0	-	0	obovate or elliptic, sometimes even broadly elliptic	-	-	4306	ob,ovate	fleshy	0	-	petiole |, more or less laterally winged or grooved, glabrous; 	-	-	0	-	23	lateral	71	glabrous	0	-	1-7 cm long	1	7	venation obvious, ca. 7-pli-veined, or a few veins branching off primary vein or obsolete when dried. 	-	-	4306	ob	0	-	0	-	0	-	0	-	Stem erect, creeping or ascending, rooting at nodes, |, glabrous, green or green with red spots. 	0	-	0	-	71	glabrous	22	creeping,erect	782	green,red	10-50 cm long	10	50	-	0	-	0	-	from 0 to over 1200 m	0	1200
Peperomia maguirei 	Fruits not sunken, subbasely attached, globose, green,      	3814	globose	0	-	0	-	0	-	782	green	apex with short, thick style and apical stigma.	0	-	664	thick	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epiphytic or epilithic herb, erect or ascending from prostrate, rooting base. 	-	-	0	-	0	-	43	erect	-	-	-	Inflorescence solitary, 	-	-	0	-	0	-	0	-	floral bracts rounded, with scariose margin, glabrous, glandular. 	6274	rounded	0	-	71	glabrous	0	-	43	erect	43	erect	peduncle |, villous, green or reddish brown; 	-	-	0	-	596	villous	285	brown,green,green or reddish	1-2 cm long	1	2	terminal	0	-	rachis hardly ridged; 	0	-	0	-	spike |, green, densely flowered, 	0	-	0	-	782	green,red	2-7 cm long	2	7	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves in whorls of 1-4, basely attached;      	1	4	blade |, sometimes pink below, |, 	0	-	0	-	0	-	1563	pink	apex rounded to emarginate, 	6274	rounded	0	-	base acute, glabrous or loosely villous on upper surface, glabrescent, glabrous below; 	247	acute	71	glabrous,villous	0	-	0	-	-	-	-	1-3.5 x 0.6-2.3 cm	1-3.5	1	3.5	0.6-2.3	0.6	2.3	1	3.5	0	-	margin not ciliate, 	-	-	0	-	1	ciliate	0	obovate or somewhat elliptic	-	-	4306	ob,ovate	fleshy coriaceous	0	-	petiole |, loosely villous; 	-	-	0	-	0	-	596	villous	0	-	0.2-0.6 cm long	0.2	0.6	veins 3, obvious. 	-	-	4306	ob	0	-	0	-	0	-	0	-	Stem loosely villous, |, green or reddish brown. 	0	-	0	-	596	villous	0	-	285	brown,green,green or reddish	10 cm long when fruiting	-	-	-	0	-	0	-	up to 700 m	-	700
Peperomia obtusifolia 	Fruits basely attached, ellipsoid, verruculose, reddish brown or blackish,      	0	-	0	-	0	-	0	-	291	brown or blackish,reddish	apex abruptly contracted into slender beak, which is curved or curled at tip, 	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigma at base of beak.	-	-	0	-	0	-	0	-	Epiphytic, epilithic or terrestrial herb. 	-	-	0	-	0	-	0	-	-	-	-	Inflorescence |, solitary or few together; 	-	-	0	-	0	-	0	-	floral bracts rounded, |, glabrous, glandular. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	both the common peduncle and those of individual spikes bracteate, green or pinkish, slender (when dried) or not slender, together |, usually minutely pubescent; 	-	-	0	-	386	pubescent	826	green or pinkish	1-14 cm long	1	14	terminal	0	-	-	0	-	0	-	spikes |, greenish white to yellow, densely flowered; 	0	-	0	-	782	greenish,red,white,white to yellow	to 18 cm long	-	-	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate, basely attached;      	-	-	blade shiny green, pale green below, |, often with red spots, |, 	0	-	0	-	0	-	782	green,red	apex rounded, obtuse or emarginate, 	4921	obtuse,rounded	0	-	base cuneate, glabrous; 	2338	cuneate	71	glabrous	0	-	0	-	-	-	-	4-14.5 x 2.5-6.5 cm	4-14.5	4	14.5	2.5-6.5	2.5	6.5	4	14.5	0	-	-	-	-	0	-	0	-	0	elliptic, obovate or subspathulate	-	-	4306	ob,ovate,ovate or subspathulate	coriaceous	0	-	petiole green or green with red spots, |, more or less grooved, minutely pubescent; 	-	-	0	-	0	-	386	pubescent	782	green,red	1-6.5 cm long	1	6.5	venation obvious or hardly visible, ca, 7-pli-veined, or few veins branching off primary vein. 	-	-	4306	ob	0	-	0	-	0	-	0	-	Stem erect, creeping or ascending, rooting at nodes, glabrous, green or green with red spots. 	0	-	0	-	71	glabrous	22	creeping,erect	782	green,red	-	-	-	-	0	-	0	-	from 0 to over 1200 m	-	-
Peperomia ouabianae 	Fruits sessile, ovoid, brown, somewhat verruculose,      	5290	ovoid	0	-	0	-	0	-	285	brown	apex oblique with subapical stigma.	4675	oblique	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Epiphytic or epilithic herb, creeping and rooting at nodes. 	-	-	0	-	0	-	22	creeping	-	-	-	Inflorescence |, solitary; 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous, glandular. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	peduncle slender, |, glabrous or minutely pubescent, green; 	-	-	0	-	71	glabrous,pubescent	782	green	to 1.5 cm long	-	1.5	terminal	0	-	-	0	-	0	-	spike |, sparsely to densely flowered; 	0	-	0	-	1705	red	1.5-5.5 cm long	1.5	5.5	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate;      	-	-	blade glandular-dotted, 	0	-	0	-	0	-	0	-	apex obtuse, 	4921	obtuse	0	-	base acute to obtuse, sparsely to densely villous above, less so beneath, or glabrescent; 	326	acute to obtuse	71	glabrescent,villous	0	-	0	-	-	-	-	0.5-2 x 0.3-0.9 cm	2	-	-	0.3-0.9	0.3	0.9	0.5	2	0	-	margin ciliate, 	-	-	0	-	1	ciliate	0	oblong-elliptic or oblong-obovate or almost orbicular	-	-	4798	oblong,orbicular,ovate	-	0	-	petiole |, loosely villous; 	-	-	0	-	0	-	596	villous	0	-	to 0.5 cm long	-	0.5	venation obvious, palmately 3-veined. 	-	-	4306	ob	0	-	0	-	0	-	0	-	Stem loosely villous, |, green to reddish. 	0	-	0	-	596	villous	0	-	829	green to reddish	3-8 cm long	3	8	-	0	-	0	-	from 0 to 850-1400 m	0	850
Peperomia pellucida 	Fruits somewhat stipitate, globose, brown (young, green ones may be finely longitudinally ridged),      	3814	globose	0	-	0	-	0	-	285	brown,green	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigma apical, a short style may be developed.	-	-	0	-	0	-	0	-	Terrestrial herb, delicate, erect, glabrous, annual. 	-	-	0	-	71	glabrous	43	erect	-	-	-	Inflorescence |, solitary; 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous, minutely glandular. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	peduncle slender, |, green; 	-	-	0	-	0	-	782	green	to 1 cm long	-	-	terminal	0	-	-	0	-	0	-	spike 	0	-	0	-	0	-	1-6 cm long	1	6	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate, basely attached;      	-	-	-	0	-	0	-	0	-	0	-	apex acute to obtuse, 	326	acute to obtuse	0	-	base rounded, cordulate or truncate; 	6274	rounded,truncate	0	-	0	-	0	-	-	-	-	1-3.7(-5) x 1-3.5(-5.5) cm	-	-	-	-	-	-	1	3.7	0	-	-	-	-	0	-	0	-	0	broadly elliptic to deltoid	-	-	2830	deltoid	membranous, often drying translucent	0	-	petiole |, glabrous; 	-	-	0	-	0	-	71	glabrous	0	-	to 0.3-2.5 cm long	0.3	0.3	palmately 5-7-veined. 	5	7	0	-	0	-	0	-	0	-	0	-	Stem |, green often reddish tinged. 	0	-	0	-	0	-	0	-	782	green,reddish	10-30(-40) cm long	10	30	-	0	-	0	-	-	-	-
Peperomia pernambucensis 	Fruits basely attached, cylindrical, slightly verrucose,      	2461	cylindric	0	-	0	-	0	-	0	-	apex truncate with central stigma.	7258	truncate	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Terrestrial or epiphytic, erect herb, glabrous except for pubescent peduncle. 	-	-	0	-	71	glabrous,pubescent	43	erect	-	-	-	Inflorescence |, paniculate; 	-	-	5413	paniculate	0	-	0	-	floral bracts rounded, glabrous, glandular. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	peduncle |, densely velvety pubescent, green; 	-	-	0	-	386	pubescent	782	green	5 cm long	-	-	terminal	0	-	-	0	-	0	-	spikes |, green, densely flowered; 	0	-	0	-	782	green,red	4-8 cm long	4	8	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate, basely attached;      	-	-	-	0	-	0	-	0	-	0	-	apex acuminate, 	124	acuminate	0	-	base cuneate; 	2338	cuneate	0	-	0	-	0	-	-	-	-	15-30 x 4-12 cm	30	-	-	4	-	-	15	30	0	-	-	-	-	0	-	0	-	0	narrowly elliptic or oblanceolate	-	-	4306	ob	membranous	0	-	petiole to 	-	-	0	-	0	-	0	-	0	-	0.25 cm long	-	-	venation pinnate with 4-5(-8) lateral pairs of veins. 	4	5	0	-	0	-	23	lateral	0	-	0	-	Stem |, green. 	0	-	0	-	0	-	0	-	782	green	to 5 cm long	-	5	-	0	-	0	-	to 700 m	-	700
Peperomia popayanensis 	Fruits basely attached, ellipsoid,      	0	-	0	-	0	-	0	-	0	-	apex with slender beak and stigma at base of beak.	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Terrestrial, ascending, almost glabrous herb, rooting at nodes. 	-	-	0	-	71	glabrous	0	-	-	-	-	Inflorescence |, solitary; 	-	-	0	-	0	-	0	-	floral bracts, rounded, glabrous. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	peduncle slender, |, with 2-3 caducous bracts, green; 	2	3	0	-	0	-	782	green	3-7 cm long	3	7	axillary	0	-	-	0	-	0	-	spike |, green; 	0	-	0	-	782	green	17 cm long	-	-	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate, slightly subpeltate;      	-	-	-	0	-	0	-	0	-	0	-	apex acuminate, 	124	acuminate	0	-	base rounded to cordulate, minutely ciliate towards apex; 	6274	rounded	1	ciliate	0	-	0	-	-	-	-	to 12 x 7 cm	12	-	-	7	-	-	-	-	0	-	-	-	-	0	-	0	-	5167	ovate	-	-	5167	ovate	coriaceous	0	-	petiole 	-	-	0	-	0	-	0	-	0	-	to 20 cm long	-	20	somewhat pli-veined with 2 pairs at base and 2-3 pairs from primary vein. 	2	3	0	-	0	-	0	-	0	-	0	-	Stem glabrous, green. 	0	-	0	-	71	glabrous	0	-	782	green	-	-	-	-	0	-	0	-	-	-	-
Peperomia purpurinervis 	Fruits basely attached, ovoid to globose, smooth,      	5353	ovoid to globose	586	smooth	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigma apical.	-	-	0	-	0	-	0	-	Epiphytic, terrestrial or epilithic herb, creeping to ascending. 	-	-	0	-	0	-	22	creeping	-	-	-	Inflorescence |, solitary; 	-	-	0	-	0	-	0	-	floral bracts rounded, glabrous, glandular. 	6274	rounded	0	-	71	glabrous	0	-	0	-	0	-	peduncle not slender, |, glabrous or minutely pubescent; 	-	-	0	-	71	glabrous,pubescent	0	-	0.5-2.5 cm long	0.5	2.5	terminal	0	-	-	0	-	0	-	spike erect, |, yellow or pale green or greenish white, laxly flowered; 	0	-	43	erect	782	green,red,white,yellow	5-7 cm long	5	7	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	Leaves alternate, basely attached;      	-	-	blade |, maybe sparsely ciliate, 	0	-	0	-	1	ciliate	0	-	apex acute to obtuse, 	326	acute to obtuse	0	-	base acute or obtuse, glabrous or slightly hirtellous, green above, often magenta-red below; 	327	acute or obtuse	71	glabrous,hirtellous	0	-	782	green,magenta,red	-	-	-	1-3.5 x 0.8-2.3 cm	1-3.5	-	-	0.8-2.3	0.8	2.3	1	3.5	0	-	-	-	-	0	-	0	-	0	elliptic, subobovate or broadly ovate	-	-	4306	ob,ovate	fleshy-coriaceous	0	-	petiole 	-	-	0	-	0	-	0	-	0	-	0.2-1 cm long	0.2	1	veins 3, obvious, often red below. 	-	-	4306	ob	0	-	0	-	0	-	1705	red	Stem glabrous to minutely pubescent (with white hairs, Persaud 52), |, reddish. 	0	-	0	-	71	glabrous,hairs,pubescent	0	-	1705	reddish,white	10-28 cm long	10	28	in dense forest on sandstone, 	0	-	0	-	1120-2750 m	1120	2750
